id,group,pdp_page,cta,actions
592947,treatment,new page,order btn,view
514354,treatment,new page,order btn,view
658860,treatment,new page,order btn,click
21838,control,old page,buy btn,view
480507,treatment,new page,order btn,view
603321,treatment,new page,order btn,view
607723,treatment,new page,order btn,view
448127,treatment,new page,order btn,view
22171,control,old page,buy btn,click
20562,control,old page,buy btn,view
42362,control,old page,buy btn,view
577962,treatment,new page,order btn,click
479459,treatment,new page,order btn,click
534474,treatment,new page,order btn,view
21700,control,old page,buy btn,view
650268,treatment,new page,order btn,view
19883,control,old page,buy btn,view
28357,control,old page,buy btn,view
499684,treatment,new page,order btn,click
496225,treatment,new page,order btn,click
43535,control,old page,buy btn,view
674265,treatment,new page,order btn,view
628890,treatment,new page,order btn,view
35107,control,old page,buy btn,view
16940,control,old page,buy btn,view
551974,treatment,new page,order btn,click
557109,treatment,new page,order btn,view
654878,treatment,new page,order btn,view
34819,control,old page,buy btn,view
23045,control,old page,buy btn,view
454309,treatment,new page,order btn,click
43454,control,old page,buy btn,view
36233,control,old page,buy btn,view
541181,treatment,new page,order btn,view
17365,control,old page,buy btn,view
32956,control,old page,buy btn,view
594100,treatment,new page,order btn,view
466465,treatment,new page,order btn,click
478097,treatment,new page,order btn,click
40189,control,old page,buy btn,view
30875,control,old page,buy btn,view
29404,control,old page,buy btn,view
14606,control,old page,buy btn,view
617887,treatment,new page,order btn,view
651420,treatment,new page,order btn,view
18170,control,old page,buy btn,click
18549,control,old page,buy btn,view
451166,treatment,new page,order btn,view
487528,treatment,new page,order btn,view
41281,control,old page,buy btn,view
28645,control,old page,buy btn,view
26115,control,old page,buy btn,view
453471,treatment,new page,order btn,view
642199,treatment,new page,order btn,view
531435,treatment,new page,order btn,view
12593,control,old page,buy btn,view
503980,treatment,new page,order btn,view
24850,control,old page,buy btn,view
39533,control,old page,buy btn,view
22194,control,old page,buy btn,click
36176,control,old page,buy btn,view
579429,treatment,new page,order btn,click
19619,control,old page,buy btn,view
35359,control,old page,buy btn,view
16457,control,old page,buy btn,view
30668,control,old page,buy btn,view
587812,treatment,new page,order btn,view
18986,control,old page,buy btn,click
632244,treatment,new page,order btn,view
614639,treatment,new page,order btn,click
26357,control,old page,buy btn,click
17825,control,old page,buy btn,view
30726,control,old page,buy btn,view
666091,treatment,new page,order btn,view
16560,control,old page,buy btn,view
13594,control,old page,buy btn,view
500941,treatment,new page,order btn,click
21274,control,old page,buy btn,view
46455,control,old page,buy btn,view
615687,treatment,new page,order btn,view
15192,control,old page,buy btn,click
671540,treatment,new page,order btn,view
41913,control,old page,buy btn,view
31634,control,old page,buy btn,view
17653,control,old page,buy btn,view
13352,control,old page,buy btn,view
17549,control,old page,buy btn,view
533112,treatment,new page,order btn,view
42109,control,old page,buy btn,view
29197,control,old page,buy btn,click
578486,treatment,new page,order btn,view
457977,treatment,new page,order btn,view
615058,treatment,new page,order btn,view
33589,control,old page,buy btn,click
35865,control,old page,buy btn,view
564235,treatment,new page,order btn,click
452004,treatment,new page,order btn,view
33071,control,old page,buy btn,view
46018,control,old page,buy btn,view
29898,control,old page,buy btn,view
15801,control,old page,buy btn,view
591899,treatment,new page,order btn,view
40706,control,old page,buy btn,view
39556,control,old page,buy btn,view
488576,treatment,new page,order btn,click
20366,control,old page,buy btn,view
492558,treatment,new page,order btn,view
19872,control,old page,buy btn,view
36613,control,old page,buy btn,view
596091,treatment,new page,order btn,view
40971,control,old page,buy btn,view
676361,treatment,new page,order btn,view
535312,treatment,new page,order btn,view
539609,treatment,new page,order btn,click
666510,treatment,new page,order btn,view
546944,treatment,new page,order btn,view
23850,control,old page,buy btn,view
26943,control,old page,buy btn,view
35038,control,old page,buy btn,view
522633,treatment,new page,order btn,view
476210,treatment,new page,order btn,click
24770,control,old page,buy btn,view
548097,treatment,new page,order btn,view
472438,treatment,new page,order btn,view
26069,control,old page,buy btn,click
590013,treatment,new page,order btn,view
455357,treatment,new page,order btn,click
41741,control,old page,buy btn,view
25287,control,old page,buy btn,view
652154,treatment,new page,order btn,view
32439,control,old page,buy btn,click
39004,control,old page,buy btn,view
40453,control,old page,buy btn,view
546839,treatment,new page,order btn,view
19285,control,old page,buy btn,view
34003,control,old page,buy btn,view
674370,treatment,new page,order btn,view
28553,control,old page,buy btn,click
38878,control,old page,buy btn,view
28196,control,old page,buy btn,click
39131,control,old page,buy btn,view
470866,treatment,new page,order btn,click
42983,control,old page,buy btn,view
466989,treatment,new page,order btn,view
42741,control,old page,buy btn,view
565178,treatment,new page,order btn,view
38751,control,old page,buy btn,click
476734,treatment,new page,order btn,view
512049,treatment,new page,order btn,view
43017,control,old page,buy btn,view
561405,treatment,new page,order btn,view
585297,treatment,new page,order btn,view
486270,treatment,new page,order btn,view
673322,treatment,new page,order btn,view
24793,control,old page,buy btn,view
41752,control,old page,buy btn,view
40580,control,old page,buy btn,view
501465,treatment,new page,order btn,click
598920,treatment,new page,order btn,click
569684,treatment,new page,order btn,view
31025,control,old page,buy btn,view
21424,control,old page,buy btn,view
38774,control,old page,buy btn,view
442363,treatment,new page,order btn,click
647229,treatment,new page,order btn,view
14893,control,old page,buy btn,view
17457,control,old page,buy btn,view
553022,treatment,new page,order btn,view
38671,control,old page,buy btn,view
23183,control,old page,buy btn,view
614220,treatment,new page,order btn,click
42937,control,old page,buy btn,view
561300,treatment,new page,order btn,view
462378,treatment,new page,order btn,view
601330,treatment,new page,order btn,view
46513,control,old page,buy btn,click
13697,control,old page,buy btn,view
31036,control,old page,buy btn,click
36866,control,old page,buy btn,view
631720,treatment,new page,order btn,view
16871,control,old page,buy btn,view
661899,treatment,new page,order btn,view
33060,control,old page,buy btn,click
39591,control,old page,buy btn,view
498845,treatment,new page,order btn,view
608037,treatment,new page,order btn,view
18802,control,old page,buy btn,view
33727,control,old page,buy btn,click
35118,control,old page,buy btn,view
641675,treatment,new page,order btn,click
16664,control,old page,buy btn,click
35785,control,old page,buy btn,click
36521,control,old page,buy btn,click
34497,control,old page,buy btn,view
678876,treatment,new page,order btn,view
28737,control,old page,buy btn,click
18653,control,old page,buy btn,click
16675,control,old page,buy btn,view
24494,control,old page,buy btn,view
13490,control,old page,buy btn,view
605836,treatment,new page,order btn,click
620507,treatment,new page,order btn,view
563606,treatment,new page,order btn,view
541495,treatment,new page,order btn,click
21297,control,old page,buy btn,view
536570,treatment,new page,order btn,view
485851,treatment,new page,order btn,click
16710,control,old page,buy btn,view
22401,control,old page,buy btn,view
43293,control,old page,buy btn,click
603217,treatment,new page,order btn,view
455043,treatment,new page,order btn,view
654145,treatment,new page,order btn,view
30001,control,old page,buy btn,view
479040,treatment,new page,order btn,view
638112,treatment,new page,order btn,click
12639,control,old page,buy btn,view
663262,treatment,new page,order btn,view
40741,control,old page,buy btn,view
26529,control,old page,buy btn,view
556899,treatment,new page,order btn,click
41890,control,old page,buy btn,view
623965,treatment,new page,order btn,click
32186,control,old page,buy btn,view
42776,control,old page,buy btn,view
17791,control,old page,buy btn,view
33439,control,old page,buy btn,view
482812,treatment,new page,order btn,click
41718,control,old page,buy btn,view
27322,control,old page,buy btn,view
574609,treatment,new page,order btn,view
41074,control,old page,buy btn,view
530387,treatment,new page,order btn,view
39545,control,old page,buy btn,click
29817,control,old page,buy btn,click
560148,treatment,new page,order btn,view
673426,treatment,new page,order btn,view
17630,control,old page,buy btn,view
26403,control,old page,buy btn,view
22137,control,old page,buy btn,click
672064,treatment,new page,order btn,view
34900,control,old page,buy btn,view
592738,treatment,new page,order btn,click
45317,control,old page,buy btn,view
32496,control,old page,buy btn,view
28530,control,old page,buy btn,view
518651,treatment,new page,order btn,click
16595,control,old page,buy btn,click
576076,treatment,new page,order btn,click
504609,treatment,new page,order btn,view
43063,control,old page,buy btn,view
18296,control,old page,buy btn,view
18883,control,old page,buy btn,view
584774,treatment,new page,order btn,view
531959,treatment,new page,order btn,click
27472,control,old page,buy btn,view
26621,control,old page,buy btn,view
615582,treatment,new page,order btn,view
21320,control,old page,buy btn,view
30783,control,old page,buy btn,click
29783,control,old page,buy btn,view
540761,treatment,new page,order btn,click
657708,treatment,new page,order btn,view
25552,control,old page,buy btn,view
20976,control,old page,buy btn,view
626480,treatment,new page,order btn,view
26104,control,old page,buy btn,click
30737,control,old page,buy btn,click
661271,treatment,new page,order btn,click
15112,control,old page,buy btn,view
37142,control,old page,buy btn,click
43627,control,old page,buy btn,click
492977,treatment,new page,order btn,view
629938,treatment,new page,order btn,view
596824,treatment,new page,order btn,view
601750,treatment,new page,order btn,view
475582,treatment,new page,order btn,click
455567,treatment,new page,order btn,click
602902,treatment,new page,order btn,view
36923,control,old page,buy btn,view
636016,treatment,new page,order btn,click
40672,control,old page,buy btn,view
671855,treatment,new page,order btn,view
36509,control,old page,buy btn,view
28150,control,old page,buy btn,click
533741,treatment,new page,order btn,view
14054,control,old page,buy btn,click
23459,control,old page,buy btn,view
44109,control,old page,buy btn,click
41327,control,old page,buy btn,view
35612,control,old page,buy btn,view
32014,control,old page,buy btn,click
46559,control,old page,buy btn,click
445612,treatment,new page,order btn,view
523261,treatment,new page,order btn,click
33497,control,old page,buy btn,click
15479,control,old page,buy btn,view
627633,treatment,new page,order btn,click
33163,control,old page,buy btn,view
44903,control,old page,buy btn,click
452109,treatment,new page,order btn,view
469085,treatment,new page,order btn,view
25621,control,old page,buy btn,view
35348,control,old page,buy btn,click
40373,control,old page,buy btn,click
37349,control,old page,buy btn,click
30162,control,old page,buy btn,view
37107,control,old page,buy btn,view
577857,treatment,new page,order btn,view
553651,treatment,new page,order btn,view
538980,treatment,new page,order btn,view
16698,control,old page,buy btn,view
18561,control,old page,buy btn,click
16008,control,old page,buy btn,view
627319,treatment,new page,order btn,view
23896,control,old page,buy btn,view
23930,control,old page,buy btn,view
652468,treatment,new page,order btn,view
20470,control,old page,buy btn,view
660432,treatment,new page,order btn,view
567064,treatment,new page,order btn,click
605941,treatment,new page,order btn,view
456195,treatment,new page,order btn,click
14939,control,old page,buy btn,click
17733,control,old page,buy btn,view
35831,control,old page,buy btn,view
645133,treatment,new page,order btn,view
40258,control,old page,buy btn,view
18067,control,old page,buy btn,view
43822,control,old page,buy btn,view
27299,control,old page,buy btn,view
667139,treatment,new page,order btn,view
21125,control,old page,buy btn,view
533531,treatment,new page,order btn,view
453366,treatment,new page,order btn,click
528606,treatment,new page,order btn,view
483441,treatment,new page,order btn,click
12582,control,old page,buy btn,view
16756,control,old page,buy btn,view
36567,control,old page,buy btn,view
26035,control,old page,buy btn,view
513411,treatment,new page,order btn,view
21481,control,old page,buy btn,view
38533,control,old page,buy btn,view
25943,control,old page,buy btn,view
648067,treatment,new page,order btn,click
45524,control,old page,buy btn,click
31542,control,old page,buy btn,view
18848,control,old page,buy btn,view
39039,control,old page,buy btn,view
16951,control,old page,buy btn,view
22424,control,old page,buy btn,view
562139,treatment,new page,order btn,view
569998,treatment,new page,order btn,view
504818,treatment,new page,order btn,click
46156,control,old page,buy btn,view
31657,control,old page,buy btn,click
17032,control,old page,buy btn,view
36406,control,old page,buy btn,click
671016,treatment,new page,order btn,click
452947,treatment,new page,order btn,view
42235,control,old page,buy btn,view
46478,control,old page,buy btn,view
597453,treatment,new page,order btn,view
26897,control,old page,buy btn,view
21010,control,old page,buy btn,click
463740,treatment,new page,order btn,view
14088,control,old page,buy btn,view
43719,control,old page,buy btn,view
19320,control,old page,buy btn,click
629205,treatment,new page,order btn,click
14295,control,old page,buy btn,view
12904,control,old page,buy btn,view
20286,control,old page,buy btn,view
468246,treatment,new page,order btn,click
666825,treatment,new page,order btn,click
13628,control,old page,buy btn,view
28081,control,old page,buy btn,view
44259,control,old page,buy btn,view
470761,treatment,new page,order btn,view
38901,control,old page,buy btn,view
46237,control,old page,buy btn,click
465627,treatment,new page,order btn,view
630881,treatment,new page,order btn,click
40269,control,old page,buy btn,view
678352,treatment,new page,order btn,view
31473,control,old page,buy btn,view
43880,control,old page,buy btn,view
498740,treatment,new page,order btn,view
44811,control,old page,buy btn,view
663786,treatment,new page,order btn,view
18825,control,old page,buy btn,view
557214,treatment,new page,order btn,click
22884,control,old page,buy btn,view
628471,treatment,new page,order btn,click
623860,treatment,new page,order btn,view
513726,treatment,new page,order btn,view
572618,treatment,new page,order btn,view
22516,control,old page,buy btn,click
458291,treatment,new page,order btn,view
452528,treatment,new page,order btn,click
515717,treatment,new page,order btn,view
446136,treatment,new page,order btn,view
31347,control,old page,buy btn,view
660956,treatment,new page,order btn,click
20918,control,old page,buy btn,view
44040,control,old page,buy btn,click
565806,treatment,new page,order btn,view
619983,treatment,new page,order btn,click
607827,treatment,new page,order btn,click
29702,control,old page,buy btn,view
45558,control,old page,buy btn,view
42132,control,old page,buy btn,click
547258,treatment,new page,order btn,view
28518,control,old page,buy btn,view
15698,control,old page,buy btn,view
559414,treatment,new page,order btn,view
598501,treatment,new page,order btn,click
28599,control,old page,buy btn,view
466151,treatment,new page,order btn,view
37533,control,old page,buy btn,view
42764,control,old page,buy btn,view
33324,control,old page,buy btn,click
18078,control,old page,buy btn,view
546001,treatment,new page,order btn,click
571151,treatment,new page,order btn,click
564130,treatment,new page,order btn,click
29093,control,old page,buy btn,click
481660,treatment,new page,order btn,view
21918,control,old page,buy btn,click
27161,control,old page,buy btn,click
20481,control,old page,buy btn,view
31174,control,old page,buy btn,view
18469,control,old page,buy btn,view
677618,treatment,new page,order btn,view
466884,treatment,new page,order btn,view
665777,treatment,new page,order btn,click
619145,treatment,new page,order btn,view
478830,treatment,new page,order btn,view
500522,treatment,new page,order btn,click
36498,control,old page,buy btn,view
671121,treatment,new page,order btn,view
46639,control,old page,buy btn,view
18250,control,old page,buy btn,view
634025,treatment,new page,order btn,click
32749,control,old page,buy btn,click
23953,control,old page,buy btn,click
456929,treatment,new page,order btn,view
661585,treatment,new page,order btn,view
21171,control,old page,buy btn,view
675732,treatment,new page,order btn,view
34394,control,old page,buy btn,view
515297,treatment,new page,order btn,view
511734,treatment,new page,order btn,view
512992,treatment,new page,order btn,click
37590,control,old page,buy btn,view
12605,control,old page,buy btn,view
647124,treatment,new page,order btn,view
508486,treatment,new page,order btn,click
29151,control,old page,buy btn,view
27966,control,old page,buy btn,view
623546,treatment,new page,order btn,view
615268,treatment,new page,order btn,view
461330,treatment,new page,order btn,view
448860,treatment,new page,order btn,click
34969,control,old page,buy btn,view
632663,treatment,new page,order btn,view
606465,treatment,new page,order btn,view
486794,treatment,new page,order btn,view
511839,treatment,new page,order btn,view
41683,control,old page,buy btn,view
549145,treatment,new page,order btn,view
44604,control,old page,buy btn,view
44615,control,old page,buy btn,view
41902,control,old page,buy btn,view
19331,control,old page,buy btn,click
42477,control,old page,buy btn,view
454624,treatment,new page,order btn,click
444145,treatment,new page,order btn,click
15433,control,old page,buy btn,click
37705,control,old page,buy btn,click
36452,control,old page,buy btn,view
640522,treatment,new page,order btn,view
512363,treatment,new page,order btn,view
24758,control,old page,buy btn,click
606570,treatment,new page,order btn,view
38177,control,old page,buy btn,view
45765,control,old page,buy btn,view
15135,control,old page,buy btn,view
12731,control,old page,buy btn,click
19090,control,old page,buy btn,view
437752,treatment,new page,order btn,view
13053,control,old page,buy btn,view
38062,control,old page,buy btn,view
16445,control,old page,buy btn,click
38556,control,old page,buy btn,view
36877,control,old page,buy btn,view
40637,control,old page,buy btn,view
15606,control,old page,buy btn,view
586136,treatment,new page,order btn,view
564025,treatment,new page,order btn,view
31105,control,old page,buy btn,view
548935,treatment,new page,order btn,view
467722,treatment,new page,order btn,view
42787,control,old page,buy btn,view
508276,treatment,new page,order btn,view
33991,control,old page,buy btn,click
25402,control,old page,buy btn,click
31554,control,old page,buy btn,click
536989,treatment,new page,order btn,view
658965,treatment,new page,order btn,click
12697,control,old page,buy btn,view
551345,treatment,new page,order btn,view
34750,control,old page,buy btn,view
483755,treatment,new page,order btn,view
13272,control,old page,buy btn,click
36245,control,old page,buy btn,view
14974,control,old page,buy btn,view
19722,control,old page,buy btn,view
656450,treatment,new page,order btn,view
31209,control,old page,buy btn,view
45248,control,old page,buy btn,view
447079,treatment,new page,order btn,click
616106,treatment,new page,order btn,view
14675,control,old page,buy btn,click
39602,control,old page,buy btn,view
31013,control,old page,buy btn,view
488995,treatment,new page,order btn,click
545582,treatment,new page,order btn,click
18975,control,old page,buy btn,view
38889,control,old page,buy btn,view
670597,treatment,new page,order btn,click
46053,control,old page,buy btn,view
570417,treatment,new page,order btn,click
26196,control,old page,buy btn,view
634130,treatment,new page,order btn,view
443725,treatment,new page,order btn,click
575866,treatment,new page,order btn,view
582049,treatment,new page,order btn,click
537618,treatment,new page,order btn,view
20125,control,old page,buy btn,click
569579,treatment,new page,order btn,view
604265,treatment,new page,order btn,view
649849,treatment,new page,order btn,view
611076,treatment,new page,order btn,view
40718,control,old page,buy btn,view
22528,control,old page,buy btn,view
579010,treatment,new page,order btn,view
28587,control,old page,buy btn,view
653097,treatment,new page,order btn,view
515507,treatment,new page,order btn,view
653935,treatment,new page,order btn,click
582468,treatment,new page,order btn,click
32405,control,old page,buy btn,view
581211,treatment,new page,order btn,click
45259,control,old page,buy btn,view
12973,control,old page,buy btn,view
13122,control,old page,buy btn,click
19895,control,old page,buy btn,view
37487,control,old page,buy btn,click
437019,treatment,new page,order btn,view
22873,control,old page,buy btn,click
24666,control,old page,buy btn,view
17722,control,old page,buy btn,view
521061,treatment,new page,order btn,click
23022,control,old page,buy btn,click
44719,control,old page,buy btn,click
45156,control,old page,buy btn,view
496435,treatment,new page,order btn,view
563082,treatment,new page,order btn,view
476839,treatment,new page,order btn,view
460387,treatment,new page,order btn,click
41246,control,old page,buy btn,view
21343,control,old page,buy btn,click
542962,treatment,new page,order btn,view
44408,control,old page,buy btn,click
27851,control,old page,buy btn,view
42063,control,old page,buy btn,view
30461,control,old page,buy btn,view
30806,control,old page,buy btn,view
521899,treatment,new page,order btn,view
14180,control,old page,buy btn,view
570522,treatment,new page,order btn,view
33152,control,old page,buy btn,view
42511,control,old page,buy btn,view
663681,treatment,new page,order btn,view
23160,control,old page,buy btn,view
594833,treatment,new page,order btn,click
448022,treatment,new page,order btn,view
13755,control,old page,buy btn,click
486690,treatment,new page,order btn,view
452633,treatment,new page,order btn,view
31002,control,old page,buy btn,view
642094,treatment,new page,order btn,view
23988,control,old page,buy btn,click
492767,treatment,new page,order btn,view
17009,control,old page,buy btn,view
520746,treatment,new page,order btn,view
34118,control,old page,buy btn,view
22896,control,old page,buy btn,view
23356,control,old page,buy btn,view
552288,treatment,new page,order btn,view
18354,control,old page,buy btn,view
40315,control,old page,buy btn,view
646181,treatment,new page,order btn,view
38820,control,old page,buy btn,view
39453,control,old page,buy btn,view
438276,treatment,new page,order btn,view
654459,treatment,new page,order btn,view
649953,treatment,new page,order btn,view
34624,control,old page,buy btn,view
20964,control,old page,buy btn,view
542543,treatment,new page,order btn,click
26012,control,old page,buy btn,view
30979,control,old page,buy btn,view
20355,control,old page,buy btn,click
30047,control,old page,buy btn,view
505237,treatment,new page,order btn,click
35187,control,old page,buy btn,view
36624,control,old page,buy btn,view
24942,control,old page,buy btn,view
540028,treatment,new page,order btn,view
37038,control,old page,buy btn,view
449279,treatment,new page,order btn,view
509429,treatment,new page,order btn,click
34014,control,old page,buy btn,click
470552,treatment,new page,order btn,view
46547,control,old page,buy btn,view
639893,treatment,new page,order btn,click
27587,control,old page,buy btn,click
25678,control,old page,buy btn,view
658651,treatment,new page,order btn,view
29967,control,old page,buy btn,view
562663,treatment,new page,order btn,click
33290,control,old page,buy btn,click
453157,treatment,new page,order btn,view
592423,treatment,new page,order btn,click
27368,control,old page,buy btn,view
655612,treatment,new page,order btn,view
41856,control,old page,buy btn,click
21792,control,old page,buy btn,view
38498,control,old page,buy btn,view
13962,control,old page,buy btn,click
39729,control,old page,buy btn,view
39878,control,old page,buy btn,click
460806,treatment,new page,order btn,view
621869,treatment,new page,order btn,click
20999,control,old page,buy btn,click
29185,control,old page,buy btn,view
439743,treatment,new page,order btn,view
538770,treatment,new page,order btn,view
27736,control,old page,buy btn,view
21665,control,old page,buy btn,view
509848,treatment,new page,order btn,click
21895,control,old page,buy btn,view
460911,treatment,new page,order btn,view
38981,control,old page,buy btn,view
30565,control,old page,buy btn,view
21941,control,old page,buy btn,view
613381,treatment,new page,order btn,click
21769,control,old page,buy btn,view
559309,treatment,new page,order btn,view
15916,control,old page,buy btn,view
567693,treatment,new page,order btn,click
40902,control,old page,buy btn,view
623127,treatment,new page,order btn,view
30116,control,old page,buy btn,view
438171,treatment,new page,order btn,view
587498,treatment,new page,order btn,click
16997,control,old page,buy btn,view
468875,treatment,new page,order btn,click
442887,treatment,new page,order btn,view
16112,control,old page,buy btn,view
40568,control,old page,buy btn,view
43178,control,old page,buy btn,click
480612,treatment,new page,order btn,view
23712,control,old page,buy btn,view
16192,control,old page,buy btn,view
37763,control,old page,buy btn,view
441734,treatment,new page,order btn,view
636121,treatment,new page,order btn,click
40143,control,old page,buy btn,view
42994,control,old page,buy btn,view
19193,control,old page,buy btn,view
20240,control,old page,buy btn,view
31301,control,old page,buy btn,click
447393,treatment,new page,order btn,click
507752,treatment,new page,order btn,view
563187,treatment,new page,order btn,click
673217,treatment,new page,order btn,click
32669,control,old page,buy btn,view
671331,treatment,new page,order btn,click
462797,treatment,new page,order btn,click
478306,treatment,new page,order btn,view
41384,control,old page,buy btn,click
14744,control,old page,buy btn,view
29369,control,old page,buy btn,view
41959,control,old page,buy btn,view
12996,control,old page,buy btn,click
671645,treatment,new page,order btn,view
15778,control,old page,buy btn,view
541914,treatment,new page,order btn,click
22746,control,old page,buy btn,click
23666,control,old page,buy btn,click
19136,control,old page,buy btn,click
34129,control,old page,buy btn,click
609399,treatment,new page,order btn,click
633606,treatment,new page,order btn,view
34428,control,old page,buy btn,view
19607,control,old page,buy btn,view
41005,control,old page,buy btn,view
472752,treatment,new page,order btn,view
42914,control,old page,buy btn,view
43040,control,old page,buy btn,view
44443,control,old page,buy btn,view
531540,treatment,new page,order btn,click
34566,control,old page,buy btn,view
444983,treatment,new page,order btn,view
17112,control,old page,buy btn,view
637274,treatment,new page,order btn,view
446031,treatment,new page,order btn,view
516031,treatment,new page,order btn,view
46110,control,old page,buy btn,view
40430,control,old page,buy btn,view
17388,control,old page,buy btn,click
628786,treatment,new page,order btn,click
548726,treatment,new page,order btn,view
31749,control,old page,buy btn,view
32106,control,old page,buy btn,view
668292,treatment,new page,order btn,view
518860,treatment,new page,order btn,view
558052,treatment,new page,order btn,view
21263,control,old page,buy btn,view
18860,control,old page,buy btn,click
36153,control,old page,buy btn,view
21757,control,old page,buy btn,view
467303,treatment,new page,order btn,view
617992,treatment,new page,order btn,view
495597,treatment,new page,order btn,view
607094,treatment,new page,order btn,view
19067,control,old page,buy btn,view
531330,treatment,new page,order btn,click
21872,control,old page,buy btn,view
533636,treatment,new page,order btn,view
16181,control,old page,buy btn,view
37326,control,old page,buy btn,view
658232,treatment,new page,order btn,click
32611,control,old page,buy btn,view
436285,treatment,new page,order btn,view
33129,control,old page,buy btn,view
496540,treatment,new page,order btn,view
552393,treatment,new page,order btn,click
20056,control,old page,buy btn,view
39568,control,old page,buy btn,view
26759,control,old page,buy btn,click
567169,treatment,new page,order btn,view
36670,control,old page,buy btn,view
609190,treatment,new page,order btn,click
46421,control,old page,buy btn,click
34704,control,old page,buy btn,view
646076,treatment,new page,order btn,click
33244,control,old page,buy btn,click
596615,treatment,new page,order btn,view
598815,treatment,new page,order btn,view
46375,control,old page,buy btn,view
19435,control,old page,buy btn,click
671435,treatment,new page,order btn,click
31611,control,old page,buy btn,view
474743,treatment,new page,order btn,click
546106,treatment,new page,order btn,click
588022,treatment,new page,order btn,view
39752,control,old page,buy btn,view
582573,treatment,new page,order btn,view
525776,treatment,new page,order btn,click
20769,control,old page,buy btn,view
578905,treatment,new page,order btn,view
13111,control,old page,buy btn,view
39487,control,old page,buy btn,view
20907,control,old page,buy btn,click
14100,control,old page,buy btn,view
477468,treatment,new page,order btn,view
46007,control,old page,buy btn,view
15364,control,old page,buy btn,view
603531,treatment,new page,order btn,click
630043,treatment,new page,order btn,view
12892,control,old page,buy btn,view
524205,treatment,new page,order btn,view
25874,control,old page,buy btn,view
528920,treatment,new page,order btn,click
498007,treatment,new page,order btn,view
13789,control,old page,buy btn,view
32083,control,old page,buy btn,view
38855,control,old page,buy btn,view
27978,control,old page,buy btn,view
40890,control,old page,buy btn,view
20033,control,old page,buy btn,view
643875,treatment,new page,order btn,view
24896,control,old page,buy btn,view
37935,control,old page,buy btn,view
490567,treatment,new page,order btn,view
28668,control,old page,buy btn,view
38786,control,old page,buy btn,click
