id,group,page,payment_opt,transacions,revenue
14834,control,old page,PayPal,3,787.8
17643,treatment,new page,Apple Pay,4,3127.1
13766,control,old page,PayPal,3,322.4
12018,control,old page,Credit Cards,2,640.8
16206,control,old page,Cash On Delivery (COD),3,200
20880,treatment,new page,Apple Pay,6,3233.7
11177,control,old page,PayPal,1,371.4
17352,treatment,new page,Apple Pay,6,2967.3
13649,control,old page,PayPal,3,1179.6
18737,treatment,new page,Postpaid Methods,6,3286.9
12814,control,old page,PayPal,1,1008.2
23514,treatment,new page,Apple Pay,4,2541.2
14795,control,old page,Credit Cards,1,836.7
12808,control,old page,Credit Cards,2,1130.6
12510,control,old page,Credit Cards,1,1277.6
18931,treatment,new page,Postpaid Methods,4,890
11824,control,old page,Cash On Delivery (COD),1,689.8
22129,treatment,new page,Apple Pay,4,2807.6
18465,treatment,new page,Cash On Delivery (COD),6,2754.3
13669,control,old page,Credit Cards,1,983.7
14096,control,old page,Credit Cards,2,1130.6
13643,control,old page,Cash On Delivery (COD),3,346.9
18388,treatment,new page,Postpaid Methods,6,1795.5
23087,treatment,new page,Credit Cards,6,3180.4
12924,control,old page,PayPal,3,836.7
19527,treatment,new page,Postpaid Methods,5,2647.8
23003,treatment,new page,Cash On Delivery (COD),4,1475.9
20245,treatment,new page,Postpaid Methods,4,2754.3
22763,treatment,new page,PayPal,5,2594.5
16006,control,old page,Cash On Delivery (COD),4,787.8
15539,control,old page,Credit Cards,3,910.2
16853,control,old page,Credit Cards,3,1204.1
19048,treatment,new page,Postpaid Methods,4,1955.3
23656,treatment,new page,Postpaid Methods,6,2274.9
22918,treatment,new page,Apple Pay,4,2274.9
19663,treatment,new page,Credit Cards,6,1316.1
11669,control,old page,PayPal,1,836.7
13080,control,old page,Credit Cards,3,346.9
13041,control,old page,Credit Cards,2,1179.6
17876,treatment,new page,Postpaid Methods,4,3180.4
20964,treatment,new page,Apple Pay,5,1103.1
11384,control,old page,Cash On Delivery (COD),2,395.9
11591,control,old page,Cash On Delivery (COD),3,420.4
15585,control,old page,PayPal,1,640.8
23527,treatment,new page,Apple Pay,5,2488
15921,control,old page,Cash On Delivery (COD),1,665.3
19533,treatment,new page,Apple Pay,4,1049.8
16025,control,old page,Credit Cards,2,934.7
13468,control,old page,Cash On Delivery (COD),3,1106.1
21766,treatment,new page,Apple Pay,4,2221.6
16905,control,old page,Credit Cards,3,1179.6
16756,control,old page,PayPal,1,1106.1
16239,control,old page,Cash On Delivery (COD),2,689.8
11060,control,old page,PayPal,2,616.3
16342,control,old page,Credit Cards,2,1106.1
13339,control,old page,Cash On Delivery (COD),1,1008.2
14711,control,old page,Credit Cards,3,1326.5
14077,control,old page,Credit Cards,2,298
16530,control,old page,Cash On Delivery (COD),1,738.8
19100,treatment,new page,Postpaid Methods,4,3340.2
11306,control,old page,Cash On Delivery (COD),3,738.8
21054,treatment,new page,Apple Pay,5,2488
16491,control,old page,Credit Cards,1,1277.6
23728,treatment,new page,Postpaid Methods,4,1475.9
19216,treatment,new page,Postpaid Methods,4,2488
15397,control,old page,Cash On Delivery (COD),3,493.9
16012,control,old page,Credit Cards,3,298
22439,treatment,new page,Apple Pay,6,2381.4
21333,treatment,new page,Postpaid Methods,6,2274.9
20770,treatment,new page,Postpaid Methods,6,1049.8
11487,control,old page,Cash On Delivery (COD),2,861.2
18763,treatment,new page,Postpaid Methods,5,2860.8
15481,control,old page,Cash On Delivery (COD),3,1032.7
14284,control,old page,Cash On Delivery (COD),2,1179.6
15578,control,old page,PayPal,2,1081.6
20420,treatment,new page,Credit Cards,4,2061.8
19850,treatment,new page,Apple Pay,4,1902
16336,control,old page,Cash On Delivery (COD),1,200
15688,control,old page,PayPal,2,885.7
12316,control,old page,PayPal,1,1277.6
23766,treatment,new page,Cash On Delivery (COD),6,3180.4
14892,control,old page,PayPal,4,910.2
19779,treatment,new page,Postpaid Methods,6,1902
13572,control,old page,Credit Cards,3,542.9
11520,control,old page,Cash On Delivery (COD),1,1302
21598,treatment,new page,Apple Pay,4,943.3
20698,treatment,new page,Postpaid Methods,6,1902
23786,treatment,new page,Cash On Delivery (COD),6,1422.7
22537,treatment,new page,Postpaid Methods,5,2008.6
11475,control,old page,Cash On Delivery (COD),1,959.2
11144,control,old page,PayPal,1,1081.6
22957,treatment,new page,Postpaid Methods,5,1475.9
13073,control,old page,Credit Cards,3,249
19844,treatment,new page,Apple Pay,6,890
18621,treatment,new page,Apple Pay,4,1795.5
20252,treatment,new page,Apple Pay,4,2328.2
21391,treatment,new page,Cash On Delivery (COD),6,2328.2
22032,treatment,new page,Apple Pay,4,3073.9
17747,treatment,new page,Apple Pay,6,1582.4
17514,treatment,new page,Postpaid Methods,5,2488
18595,treatment,new page,Postpaid Methods,4,2647.8
12413,control,old page,Cash On Delivery (COD),3,1302
11021,control,old page,PayPal,1,959.2
11455,control,old page,Credit Cards,3,640.8
17999,treatment,new page,Apple Pay,6,996.5
16044,control,old page,Cash On Delivery (COD),1,885.7
15229,control,old page,Credit Cards,2,861.2
18834,treatment,new page,Cash On Delivery (COD),5,1475.9
13047,control,old page,Cash On Delivery (COD),2,395.9
18252,treatment,new page,Apple Pay,6,2914.1
18659,treatment,new page,Postpaid Methods,6,1742.2
16724,control,old page,PayPal,3,1081.6
17753,treatment,new page,Postpaid Methods,6,2061.8
15171,control,old page,Credit Cards,3,1106.1
20860,treatment,new page,Credit Cards,6,2860.8
16258,control,old page,Credit Cards,2,812.2
11960,control,old page,PayPal,1,493.9
13611,control,old page,Credit Cards,1,444.9
18562,treatment,new page,Apple Pay,5,2488
20549,treatment,new page,Cash On Delivery (COD),5,2221.6
20135,treatment,new page,Postpaid Methods,4,2967.3
12232,control,old page,Cash On Delivery (COD),2,444.9
13009,control,old page,Cash On Delivery (COD),3,1130.6
23482,treatment,new page,PayPal,4,3073.9
11688,control,old page,Cash On Delivery (COD),2,371.4
21572,treatment,new page,Apple Pay,6,2381.4
17941,treatment,new page,Apple Pay,6,1848.8
19501,treatment,new page,Apple Pay,6,1475.9
16193,control,old page,Credit Cards,2,763.3
12005,control,old page,Credit Cards,2,910.2
19145,treatment,new page,Apple Pay,4,1955.3
16387,control,old page,Cash On Delivery (COD),1,1326.5
11093,control,old page,Cash On Delivery (COD),2,200
20148,treatment,new page,Credit Cards,6,2008.6
13792,control,old page,Cash On Delivery (COD),2,714.3
17462,treatment,new page,Postpaid Methods,5,2860.8
21384,treatment,new page,Postpaid Methods,5,2115.1
16394,control,old page,Cash On Delivery (COD),3,1375.5
11468,control,old page,Cash On Delivery (COD),3,224.5
14336,control,old page,Credit Cards,1,1081.6
14704,control,old page,PayPal,2,1375.5
22019,treatment,new page,Apple Pay,6,1582.4
16769,control,old page,Credit Cards,3,640.8
16200,control,old page,Credit Cards,2,616.3
20562,treatment,new page,Apple Pay,6,2274.9
23223,treatment,new page,Apple Pay,4,3020.6
12827,control,old page,PayPal,2,959.2
12284,control,old page,PayPal,2,518.4
20103,treatment,new page,Postpaid Methods,5,1209.6
16420,control,old page,PayPal,3,665.3
13630,control,old page,Cash On Delivery (COD),1,738.8
11086,control,old page,PayPal,2,910.2
13857,control,old page,Credit Cards,3,640.8
17397,treatment,new page,Postpaid Methods,6,1262.9
11850,control,old page,Credit Cards,2,273.5
23734,treatment,new page,Apple Pay,4,3233.7
23423,treatment,new page,Apple Pay,4,3286.9
18873,treatment,new page,Postpaid Methods,4,2061.8
20692,treatment,new page,Postpaid Methods,6,3393.5
18530,treatment,new page,Cash On Delivery (COD),4,2807.6
19475,treatment,new page,Postpaid Methods,5,1475.9
13682,control,old page,Cash On Delivery (COD),1,444.9
22970,treatment,new page,Apple Pay,6,3020.6
16562,control,old page,Cash On Delivery (COD),1,665.3
14679,control,old page,PayPal,3,1179.6
22291,treatment,new page,Apple Pay,6,3393.5
16549,control,old page,Cash On Delivery (COD),1,983.7
21540,treatment,new page,Apple Pay,5,2168.4
15818,control,old page,Cash On Delivery (COD),2,518.4
15760,control,old page,PayPal,2,1326.5
14575,control,old page,Cash On Delivery (COD),2,1302
13326,control,old page,PayPal,3,836.7
13552,control,old page,PayPal,1,1155.1
15501,control,old page,PayPal,2,224.5
22025,treatment,new page,Postpaid Methods,4,1316.1
14439,control,old page,Credit Cards,1,1228.6
13345,control,old page,Credit Cards,3,224.5
18782,treatment,new page,Apple Pay,6,1795.5
22459,treatment,new page,Apple Pay,6,2594.5
12277,control,old page,PayPal,2,885.7
21514,treatment,new page,Postpaid Methods,4,1422.7
17287,control,old page,PayPal,1,689.8
22155,treatment,new page,Apple Pay,5,943.3
22880,treatment,new page,Apple Pay,5,2381.4
19462,treatment,new page,Apple Pay,5,2115.1
15520,control,old page,Credit Cards,3,910.2
22090,treatment,new page,PayPal,4,2594.5
19106,treatment,new page,Postpaid Methods,6,943.3
13759,control,old page,Cash On Delivery (COD),2,640.8
11643,control,old page,PayPal,3,1400
20575,treatment,new page,Postpaid Methods,4,890
17468,treatment,new page,Apple Pay,6,2541.2
21559,treatment,new page,Postpaid Methods,4,3286.9
20821,treatment,new page,Postpaid Methods,5,3180.4
19514,treatment,new page,Credit Cards,6,943.3
15145,control,old page,PayPal,3,346.9
19799,treatment,new page,Postpaid Methods,6,1742.2
15883,control,old page,Cash On Delivery (COD),1,444.9
13280,control,old page,Credit Cards,3,371.4
12886,control,old page,Cash On Delivery (COD),3,518.4
14685,control,old page,Cash On Delivery (COD),1,346.9
15196,control,old page,Cash On Delivery (COD),2,567.3
13235,control,old page,Credit Cards,3,493.9
16310,control,old page,Credit Cards,2,910.2
21456,treatment,new page,Apple Pay,6,2381.4
17054,control,old page,Cash On Delivery (COD),1,910.2
12148,control,old page,Credit Cards,1,959.2
12400,control,old page,Cash On Delivery (COD),3,640.8
16918,control,old page,PayPal,1,1253.1
22051,treatment,new page,Postpaid Methods,6,2274.9
19579,treatment,new page,Postpaid Methods,6,943.3
14957,control,old page,Cash On Delivery (COD),2,1179.6
11216,control,old page,Cash On Delivery (COD),3,298
23741,treatment,new page,Postpaid Methods,5,1262.9
17436,treatment,new page,Apple Pay,4,3020.6
22698,treatment,new page,Apple Pay,6,1795.5
11617,control,old page,Cash On Delivery (COD),2,763.3
12212,control,old page,Cash On Delivery (COD),1,493.9
20918,treatment,new page,Credit Cards,4,890
13093,control,old page,PayPal,3,1228.6
15902,control,old page,Cash On Delivery (COD),2,1400
15060,control,old page,PayPal,3,1375.5
12193,control,old page,Credit Cards,1,763.3
13967,control,old page,PayPal,3,1008.2
13390,control,old page,PayPal,2,1277.6
12912,control,old page,Cash On Delivery (COD),3,1302
22562,treatment,new page,Postpaid Methods,6,2168.4
22058,treatment,new page,Apple Pay,5,943.3
19171,treatment,new page,Apple Pay,6,3020.6
21190,treatment,new page,Postpaid Methods,4,1582.4
17061,control,old page,Cash On Delivery (COD),2,1106.1
19067,treatment,new page,PayPal,4,2860.8
19197,treatment,new page,Postpaid Methods,4,3020.6
17798,treatment,new page,Apple Pay,5,2274.9
18918,treatment,new page,Postpaid Methods,4,3393.5
21838,treatment,new page,Cash On Delivery (COD),5,1795.5
13378,control,old page,PayPal,1,1081.6
15242,control,old page,Credit Cards,3,371.4
13824,control,old page,Credit Cards,1,420.4
20394,treatment,new page,PayPal,4,2807.6
12154,control,old page,Credit Cards,3,1326.5
20472,treatment,new page,Credit Cards,5,3233.7
16963,control,old page,Credit Cards,3,983.7
12536,control,old page,PayPal,3,493.9
18362,treatment,new page,Cash On Delivery (COD),4,2967.3
14983,control,old page,PayPal,1,1057.1
14562,control,old page,Credit Cards,1,371.4
18161,treatment,new page,Apple Pay,4,1529.2
13714,control,old page,Cash On Delivery (COD),3,714.3
14633,control,old page,PayPal,1,1326.5
16090,control,old page,PayPal,2,567.3
17177,control,old page,Credit Cards,3,1375.5
14323,control,old page,Credit Cards,1,591.8
19870,treatment,new page,Postpaid Methods,5,3180.4
18744,treatment,new page,Postpaid Methods,5,1529.2
23397,treatment,new page,Apple Pay,4,890
16083,control,old page,PayPal,1,689.8
17915,treatment,new page,Apple Pay,4,1635.7
14361,control,old page,PayPal,1,346.9
22601,treatment,new page,Postpaid Methods,6,2541.2
13520,control,old page,PayPal,1,1130.6
20213,treatment,new page,Postpaid Methods,6,890
21430,treatment,new page,Credit Cards,4,2647.8
12782,control,old page,Cash On Delivery (COD),3,1179.6
11805,control,old page,PayPal,2,1032.7
14989,control,old page,PayPal,1,273.5
11449,control,old page,Credit Cards,2,395.9
18452,treatment,new page,Cash On Delivery (COD),4,1156.3
11248,control,old page,PayPal,1,200
12109,control,old page,Credit Cards,1,1400
22200,treatment,new page,Cash On Delivery (COD),5,1262.9
18135,treatment,new page,Postpaid Methods,6,3127.1
15785,control,old page,Cash On Delivery (COD),3,1008.2
23805,treatment,new page,Postpaid Methods,4,2115.1
13837,control,old page,Cash On Delivery (COD),1,1253.1
15391,control,old page,PayPal,3,322.4
16219,control,old page,Cash On Delivery (COD),1,469.4
17494,treatment,new page,Postpaid Methods,6,2967.3
20504,treatment,new page,Postpaid Methods,4,1156.3
19087,treatment,new page,PayPal,6,3446.7
20193,treatment,new page,Postpaid Methods,4,890
12976,control,old page,PayPal,1,616.3
21676,treatment,new page,Apple Pay,6,1369.4
18200,treatment,new page,Postpaid Methods,6,2860.8
13358,control,old page,Credit Cards,1,1179.6
22181,treatment,new page,Apple Pay,5,1742.2
17125,control,old page,Cash On Delivery (COD),2,885.7
11992,control,old page,PayPal,2,493.9
17332,control,old page,Cash On Delivery (COD),1,1204.1
15106,control,old page,Cash On Delivery (COD),1,1008.2
14128,control,old page,PayPal,2,1228.6
15190,control,old page,Cash On Delivery (COD),1,200
13688,control,old page,Cash On Delivery (COD),2,640.8
13015,control,old page,PayPal,2,640.8
22860,treatment,new page,Apple Pay,6,3446.7
23715,treatment,new page,Apple Pay,4,2328.2
11585,control,old page,Cash On Delivery (COD),1,1032.7
20446,treatment,new page,Postpaid Methods,5,1316.1
17028,control,old page,PayPal,1,763.3
21954,treatment,new page,Apple Pay,6,2647.8
17572,treatment,new page,Postpaid Methods,4,1529.2
13410,control,old page,Cash On Delivery (COD),1,812.2
20426,treatment,new page,Postpaid Methods,5,3020.6
17896,treatment,new page,Apple Pay,4,3127.1
14866,control,old page,Credit Cards,1,934.7
20239,treatment,new page,Apple Pay,6,3020.6
23139,treatment,new page,Postpaid Methods,5,1529.2
23054,treatment,new page,Postpaid Methods,5,1689
19993,treatment,new page,Postpaid Methods,4,2860.8
22148,treatment,new page,Apple Pay,6,2221.6
17585,treatment,new page,Apple Pay,4,1582.4
23346,treatment,new page,Postpaid Methods,5,3180.4
19035,treatment,new page,Postpaid Methods,6,2647.8
18025,treatment,new page,Apple Pay,5,2115.1
13371,control,old page,Credit Cards,2,444.9
22142,treatment,new page,Apple Pay,4,2008.6
11054,control,old page,Cash On Delivery (COD),1,1228.6
14666,control,old page,Cash On Delivery (COD),2,469.4
11675,control,old page,PayPal,1,689.8
11151,control,old page,Credit Cards,2,1326.5
20679,treatment,new page,Postpaid Methods,6,3286.9
19074,treatment,new page,Postpaid Methods,6,1955.3
15895,control,old page,PayPal,1,885.7
17481,treatment,new page,Apple Pay,5,2381.4
21909,treatment,new page,Apple Pay,4,1316.1
23747,treatment,new page,Postpaid Methods,4,2488
13119,control,old page,Credit Cards,3,298
15973,control,old page,PayPal,3,591.8
16666,control,old page,PayPal,1,591.8
18679,treatment,new page,Apple Pay,5,1689
21799,treatment,new page,Postpaid Methods,6,3127.1
18588,treatment,new page,Apple Pay,4,1955.3
11125,control,old page,Cash On Delivery (COD),2,1032.7
16103,control,old page,Credit Cards,1,1032.7
15203,control,old page,Cash On Delivery (COD),2,812.2
14413,control,old page,PayPal,1,714.3
20931,treatment,new page,Apple Pay,6,3446.7
21274,treatment,new page,Cash On Delivery (COD),4,1262.9
17281,control,old page,Credit Cards,1,1302
18802,treatment,new page,Cash On Delivery (COD),5,1635.7
12860,control,old page,Credit Cards,3,1375.5
16180,control,old page,Cash On Delivery (COD),2,983.7
11539,control,old page,PayPal,3,1130.6
22045,treatment,new page,Postpaid Methods,4,3180.4
15009,control,old page,Credit Cards,2,861.2
23164,treatment,new page,Credit Cards,6,2807.6
19093,treatment,new page,Postpaid Methods,5,1422.7
15371,control,old page,Credit Cards,3,273.5
17041,control,old page,Credit Cards,1,738.8
13112,control,old page,PayPal,2,885.7
16808,control,old page,Credit Cards,2,493.9
12070,control,old page,Credit Cards,2,346.9
13908,control,old page,Credit Cards,2,1081.6
22187,treatment,new page,Apple Pay,4,2647.8
15475,control,old page,PayPal,1,1179.6
12335,control,old page,PayPal,1,1106.1
11546,control,old page,Credit Cards,3,346.9
13242,control,old page,Credit Cards,1,1228.6
22388,treatment,new page,Credit Cards,4,2541.2
15442,control,old page,Cash On Delivery (COD),2,1155.1
21533,treatment,new page,Postpaid Methods,4,1902
21825,treatment,new page,Postpaid Methods,4,943.3
16478,control,old page,Cash On Delivery (COD),3,959.2
18213,treatment,new page,Apple Pay,4,1262.9
23630,treatment,new page,Credit Cards,7,1262.9
23106,treatment,new page,Apple Pay,4,3020.6
15462,control,old page,Credit Cards,3,469.4
22278,treatment,new page,Postpaid Methods,4,890
19909,treatment,new page,Apple Pay,6,3127.1
11882,control,old page,Cash On Delivery (COD),1,885.7
17216,control,old page,Credit Cards,2,1326.5
19915,treatment,new page,Apple Pay,4,2221.6
18090,treatment,new page,Postpaid Methods,6,1848.8
19177,treatment,new page,Cash On Delivery (COD),6,1529.2
23022,treatment,new page,Postpaid Methods,5,1369.4
14530,control,old page,Cash On Delivery (COD),4,1106.1
11041,control,old page,Credit Cards,3,395.9
15358,control,old page,PayPal,1,787.8
20265,treatment,new page,Postpaid Methods,6,3020.6
22161,treatment,new page,Apple Pay,4,2647.8
13578,control,old page,PayPal,1,763.3
12633,control,old page,Credit Cards,3,1277.6
23093,treatment,new page,Apple Pay,7,1742.2
23443,treatment,new page,PayPal,4,1955.3
20122,treatment,new page,Postpaid Methods,4,3500
21229,treatment,new page,Cash On Delivery (COD),6,1689
19488,treatment,new page,Postpaid Methods,7,2488
18342,treatment,new page,Apple Pay,6,2115.1
14905,control,old page,Cash On Delivery (COD),2,591.8
13060,control,old page,Credit Cards,2,395.9
15546,control,old page,Credit Cards,3,861.2
23553,treatment,new page,Apple Pay,5,1156.3
13190,control,old page,Credit Cards,4,714.3
23158,treatment,new page,Postpaid Methods,5,1582.4
20064,treatment,new page,Apple Pay,5,1316.1
22796,treatment,new page,PayPal,5,1795.5
17022,control,old page,Cash On Delivery (COD),2,567.3
15352,control,old page,PayPal,2,322.4
21928,treatment,new page,Apple Pay,4,1795.5
17682,treatment,new page,Postpaid Methods,4,1369.4
15112,control,old page,PayPal,2,763.3
20051,treatment,new page,Postpaid Methods,5,3073.9
12549,control,old page,PayPal,2,518.4
23119,treatment,new page,Postpaid Methods,4,1582.4
17391,treatment,new page,Apple Pay,7,890
11941,control,old page,PayPal,3,665.3
13617,control,old page,Cash On Delivery (COD),1,934.7
11436,control,old page,PayPal,3,812.2
23818,treatment,new page,Postpaid Methods,4,1316.1
19449,treatment,new page,Apple Pay,6,996.5
18633,treatment,new page,PayPal,4,3393.5
14543,control,old page,Cash On Delivery (COD),1,493.9
17786,treatment,new page,Apple Pay,4,1902
15365,control,old page,PayPal,3,1326.5
23533,treatment,new page,Apple Pay,6,996.5
14090,control,old page,Cash On Delivery (COD),3,1277.6
11293,control,old page,Credit Cards,3,640.8
18491,treatment,new page,Credit Cards,5,2115.1
15766,control,old page,PayPal,3,885.7
17442,treatment,new page,Credit Cards,6,996.5
18232,treatment,new page,Apple Pay,5,996.5
20407,treatment,new page,Apple Pay,4,3393.5
20789,treatment,new page,Postpaid Methods,7,2381.4
22414,treatment,new page,Postpaid Methods,5,1955.3
13902,control,old page,Credit Cards,3,1155.1
16685,control,old page,Cash On Delivery (COD),1,738.8
14627,control,old page,Credit Cards,2,420.4
15552,control,old page,PayPal,1,542.9
18718,treatment,new page,Postpaid Methods,6,3233.7
12659,control,old page,Credit Cards,2,1179.6
20711,treatment,new page,Apple Pay,5,2594.5
21022,treatment,new page,Postpaid Methods,5,1156.3
13895,control,old page,PayPal,1,224.5
19229,treatment,new page,Apple Pay,6,2701
21138,treatment,new page,Postpaid Methods,6,2594.5
19268,treatment,new page,Postpaid Methods,5,1049.8
21074,treatment,new page,Postpaid Methods,5,3073.9
18653,treatment,new page,Cash On Delivery (COD),6,1689
20362,treatment,new page,Apple Pay,4,2061.8
15429,control,old page,Cash On Delivery (COD),2,910.2
23067,treatment,new page,Credit Cards,6,1422.7
21760,treatment,new page,Postpaid Methods,6,2434.7
15164,control,old page,Cash On Delivery (COD),2,763.3
20621,treatment,new page,Apple Pay,4,2115.1
22783,treatment,new page,Postpaid Methods,5,1902
17048,control,old page,Credit Cards,3,1032.7
22789,treatment,new page,Credit Cards,5,3446.7
17371,treatment,new page,Postpaid Methods,4,3446.7
13591,control,old page,Credit Cards,3,1326.5
20168,treatment,new page,Apple Pay,4,1156.3
12672,control,old page,PayPal,1,616.3
11902,control,old page,Cash On Delivery (COD),2,1204.1
20996,treatment,new page,Apple Pay,6,3127.1
13416,control,old page,PayPal,3,640.8
14950,control,old page,PayPal,2,910.2
14556,control,old page,Credit Cards,1,395.9
13876,control,old page,Credit Cards,2,298
21145,treatment,new page,Apple Pay,4,3073.9
19430,treatment,new page,Apple Pay,6,1742.2
23915,treatment,new page,Postpaid Methods,6,2274.9
14394,control,old page,Credit Cards,1,542.9
23385,treatment,new page,Postpaid Methods,5,943.3
20912,treatment,new page,Postpaid Methods,5,1848.8
15837,control,old page,Credit Cards,3,1155.1
16679,control,old page,PayPal,2,444.9
22258,treatment,new page,Postpaid Methods,5,2860.8
19358,treatment,new page,Cash On Delivery (COD),4,1156.3
15792,control,old page,Cash On Delivery (COD),2,689.8
11721,control,old page,PayPal,2,1204.1
15119,control,old page,Cash On Delivery (COD),3,298
23773,treatment,new page,Apple Pay,6,3286.9
21896,treatment,new page,Apple Pay,6,2328.2
12038,control,old page,Credit Cards,3,714.3
16543,control,old page,Credit Cards,1,836.7
16407,control,old page,Credit Cards,2,1228.6
14148,control,old page,Credit Cards,3,640.8
11131,control,old page,Cash On Delivery (COD),1,1228.6
21566,treatment,new page,Apple Pay,6,2967.3
13397,control,old page,Cash On Delivery (COD),3,640.8
18019,treatment,new page,Apple Pay,6,2807.6
15416,control,old page,Cash On Delivery (COD),1,861.2
23799,treatment,new page,Apple Pay,5,1316.1
20517,treatment,new page,Postpaid Methods,4,3286.9
17145,control,old page,PayPal,1,1155.1
13559,control,old page,Cash On Delivery (COD),2,1277.6
14484,control,old page,Cash On Delivery (COD),1,714.3
16148,control,old page,Credit Cards,3,1179.6
22621,treatment,new page,Apple Pay,6,2754.3
11339,control,old page,Credit Cards,1,371.4
19028,treatment,new page,Postpaid Methods,6,3180.4
18290,treatment,new page,Apple Pay,6,2168.4
12077,control,old page,Credit Cards,1,567.3
11753,control,old page,Credit Cards,2,493.9
20284,treatment,new page,Apple Pay,4,2807.6
22737,treatment,new page,Apple Pay,6,2274.9
16277,control,old page,Credit Cards,3,665.3
20083,treatment,new page,PayPal,6,2701
18905,treatment,new page,Postpaid Methods,5,3340.2
20925,treatment,new page,Apple Pay,6,1156.3
12031,control,old page,Cash On Delivery (COD),2,959.2
18381,treatment,new page,Postpaid Methods,5,3127.1
16627,control,old page,Cash On Delivery (COD),3,444.9
20355,treatment,new page,Cash On Delivery (COD),6,3286.9
