id,group,page,actions
13043,control,old page,view
14817,control,old page,view
14095,control,old page,view
15455,control,old page,click
18390,treatment,new page,view
15691,control,old page,view
17284,treatment,new page,view
16996,treatment,new page,view
18087,treatment,new page,click
14072,control,old page,view
14766,control,old page,view
14456,control,old page,view
18061,treatment,new page,view
17077,treatment,new page,click
17465,treatment,new page,view
13846,control,old page,view
15223,control,old page,view
17135,treatment,new page,view
17423,treatment,new page,view
13793,control,old page,view
17191,treatment,new page,view
14282,control,old page,view
17882,treatment,new page,view
18625,treatment,new page,view
13733,control,old page,view
18172,treatment,new page,click
17726,treatment,new page,click
15126,control,old page,click
17676,treatment,new page,view
18043,treatment,new page,view
17603,treatment,new page,view
13837,control,old page,view
14448,control,old page,click
15067,control,old page,view
15390,control,old page,view
17876,treatment,new page,view
12948,control,old page,view
14733,control,old page,view
15308,control,old page,click
17195,treatment,new page,view
18176,treatment,new page,view
17655,treatment,new page,view
12995,control,old page,click
13255,control,old page,view
14644,control,old page,view
16983,treatment,new page,view
14229,control,old page,view
18312,treatment,new page,view
15467,control,old page,view
12929,control,old page,view
14602,control,old page,view
14700,control,old page,view
18130,treatment,new page,click
14618,control,old page,click
17153,treatment,new page,view
15357,control,old page,view
13442,control,old page,view
13965,control,old page,view
13795,control,old page,view
13041,control,old page,click
15142,control,old page,view
17562,treatment,new page,click
17090,treatment,new page,click
13561,control,old page,click
13980,control,old page,view
17293,treatment,new page,view
15670,control,old page,click
18061,treatment,new page,view
17409,treatment,new page,click
16962,treatment,new page,click
14427,control,old page,click
17326,treatment,new page,view
17609,treatment,new page,click
18381,treatment,new page,view
18499,treatment,new page,click
13259,control,old page,click
17692,treatment,new page,view
18234,treatment,new page,view
17521,treatment,new page,click
17488,treatment,new page,view
18254,treatment,new page,click
14627,control,old page,click
14754,control,old page,click
13386,control,old page,view
17541,treatment,new page,click
15385,control,old page,view
16938,treatment,new page,click
16950,treatment,new page,view
13676,control,old page,view
17874,treatment,new page,view
15752,control,old page,view
13833,control,old page,view
13112,control,old page,click
18156,treatment,new page,click
14907,control,old page,click
17410,treatment,new page,view
13575,control,old page,view
14577,control,old page,click
18103,treatment,new page,view
14373,control,old page,view
13439,control,old page,view
13705,control,old page,view
15398,control,old page,view
18282,treatment,new page,view
15141,control,old page,view
14444,control,old page,click
18045,treatment,new page,view
15084,control,old page,view
18514,treatment,new page,view
13196,control,old page,view
17884,treatment,new page,click
13699,control,old page,view
15484,control,old page,view
14673,control,old page,view
17379,treatment,new page,click
14505,control,old page,view
13128,control,old page,view
17667,treatment,new page,view
17481,treatment,new page,view
14842,control,old page,click
14539,control,old page,view
14572,control,old page,view
18314,treatment,new page,view
15428,control,old page,view
13306,control,old page,view
13335,control,old page,view
17051,treatment,new page,view
18150,treatment,new page,view
14708,control,old page,view
14486,control,old page,view
18536,treatment,new page,view
17758,treatment,new page,view
13742,control,old page,click
18041,treatment,new page,view
18364,treatment,new page,view
13964,control,old page,view
13613,control,old page,view
17034,treatment,new page,view
14818,control,old page,view
14575,control,old page,click
18557,treatment,new page,click
15178,control,old page,view
13653,control,old page,click
17886,treatment,new page,view
14825,control,old page,click
17129,treatment,new page,view
14331,control,old page,click
13574,control,old page,click
13049,control,old page,view
13040,control,old page,view
14602,control,old page,view
18207,treatment,new page,view
13010,control,old page,view
14936,control,old page,click
17654,treatment,new page,click
18552,treatment,new page,view
13287,control,old page,view
14643,control,old page,view
18108,treatment,new page,click
17191,treatment,new page,view
15566,control,old page,view
14825,control,old page,view
13506,control,old page,view
14140,control,old page,click
15466,control,old page,view
17797,treatment,new page,view
15391,control,old page,view
17327,treatment,new page,view
17584,treatment,new page,click
18526,treatment,new page,view
17040,treatment,new page,click
13074,control,old page,view
12891,control,old page,view
18144,treatment,new page,view
17960,treatment,new page,view
15568,control,old page,click
18424,treatment,new page,click
14965,control,old page,view
13296,control,old page,view
18052,treatment,new page,view
18376,treatment,new page,view
17651,treatment,new page,view
15455,control,old page,view
15551,control,old page,view
18107,treatment,new page,view
17763,treatment,new page,view
17852,treatment,new page,view
15649,control,old page,view
18358,treatment,new page,view
17621,treatment,new page,view
14585,control,old page,click
17989,treatment,new page,click
18601,treatment,new page,view
15419,control,old page,click
17098,treatment,new page,view
17353,treatment,new page,view
18635,treatment,new page,view
12984,control,old page,view
15129,control,old page,click
18073,treatment,new page,click
14422,control,old page,view
13651,control,old page,view
17563,treatment,new page,click
13410,control,old page,view
13460,control,old page,view
14861,control,old page,view
15434,control,old page,view
17084,treatment,new page,view
14644,control,old page,click
17298,treatment,new page,click
13833,control,old page,view
14055,control,old page,view
13980,control,old page,view
18331,treatment,new page,view
13957,control,old page,view
18237,treatment,new page,view
17018,treatment,new page,view
14701,control,old page,click
13919,control,old page,click
15621,control,old page,view
16966,treatment,new page,view
18059,treatment,new page,view
18001,treatment,new page,view
13384,control,old page,view
17156,treatment,new page,view
17848,treatment,new page,view
18066,treatment,new page,view
17239,treatment,new page,view
15029,control,old page,view
12939,control,old page,view
17860,treatment,new page,click
13252,control,old page,click
17904,treatment,new page,view
14758,control,old page,view
12932,control,old page,view
18070,treatment,new page,click
13624,control,old page,view
17734,treatment,new page,view
17523,treatment,new page,view
17399,treatment,new page,view
17678,treatment,new page,view
17520,treatment,new page,view
13863,control,old page,view
18105,treatment,new page,click
13705,control,old page,click
15479,control,old page,click
15232,control,old page,view
17209,treatment,new page,view
17978,treatment,new page,view
18516,treatment,new page,view
17173,treatment,new page,view
17992,treatment,new page,click
18156,treatment,new page,view
17281,treatment,new page,view
13532,control,old page,click
13024,control,old page,view
13460,control,old page,click
14562,control,old page,click
15739,control,old page,view
18097,treatment,new page,click
16921,treatment,new page,click
18227,treatment,new page,view
13715,control,old page,click
13383,control,old page,view
16959,treatment,new page,click
14649,control,old page,view
13190,control,old page,view
17311,treatment,new page,click
13083,control,old page,view
15295,control,old page,view
16960,treatment,new page,view
14042,control,old page,view
18687,treatment,new page,view
14013,control,old page,view
13323,control,old page,view
18327,treatment,new page,view
14529,control,old page,view
18414,treatment,new page,click
13379,control,old page,click
17838,treatment,new page,view
13258,control,old page,click
18241,treatment,new page,view
17349,treatment,new page,view
18057,treatment,new page,view
17103,treatment,new page,view
18461,treatment,new page,click
17276,treatment,new page,view
14515,control,old page,view
13447,control,old page,click
15537,control,old page,view
13671,control,old page,click
17056,treatment,new page,view
13401,control,old page,view
15539,control,old page,click
14202,control,old page,view
14712,control,old page,click
17187,treatment,new page,view
17928,treatment,new page,view
16935,treatment,new page,view
13501,control,old page,click
17404,treatment,new page,click
14659,control,old page,view
14407,control,old page,view
15166,control,old page,view
17581,treatment,new page,view
18571,treatment,new page,click
14313,control,old page,click
17117,treatment,new page,view
13597,control,old page,view
15060,control,old page,view
14809,control,old page,view
13592,control,old page,view
17745,treatment,new page,view
17318,treatment,new page,click
14472,control,old page,view
17718,treatment,new page,click
13146,control,old page,view
14856,control,old page,view
12922,control,old page,click
17791,treatment,new page,click
18405,treatment,new page,view
17631,treatment,new page,click
17691,treatment,new page,view
14351,control,old page,view
13601,control,old page,view
16962,treatment,new page,view
18551,treatment,new page,view
15310,control,old page,view
18280,treatment,new page,view
17330,treatment,new page,click
13749,control,old page,view
17075,treatment,new page,view
17186,treatment,new page,click
18619,treatment,new page,click
15555,control,old page,click
17703,treatment,new page,click
17571,treatment,new page,view
18281,treatment,new page,view
15639,control,old page,click
12967,control,old page,click
17681,treatment,new page,view
17933,treatment,new page,view
17327,treatment,new page,view
14543,control,old page,view
15363,control,old page,view
17999,treatment,new page,view
16909,treatment,new page,view
18119,treatment,new page,click
15191,control,old page,click
18489,treatment,new page,view
14911,control,old page,view
13752,control,old page,view
17332,treatment,new page,view
14743,control,old page,click
13464,control,old page,view
18673,treatment,new page,view
14774,control,old page,view
17855,treatment,new page,view
17667,treatment,new page,view
17588,treatment,new page,view
18645,treatment,new page,click
17811,treatment,new page,view
17475,treatment,new page,view
17885,treatment,new page,click
13435,control,old page,view
17466,treatment,new page,view
13641,control,old page,view
17946,treatment,new page,view
18359,treatment,new page,click
16953,treatment,new page,view
14535,control,old page,view
15237,control,old page,click
17299,treatment,new page,view
14493,control,old page,view
17332,treatment,new page,view
17569,treatment,new page,view
18628,treatment,new page,click
13627,control,old page,click
17409,treatment,new page,view
15129,control,old page,view
14257,control,old page,view
17401,treatment,new page,view
15657,control,old page,view
18607,treatment,new page,view
13338,control,old page,click
18009,treatment,new page,view
18624,treatment,new page,view
13826,control,old page,view
15460,control,old page,view
14489,control,old page,view
17489,treatment,new page,click
13216,control,old page,click
15532,control,old page,view
14622,control,old page,view
13417,control,old page,view
17690,treatment,new page,click
18368,treatment,new page,view
15537,control,old page,view
13903,control,old page,click
13612,control,old page,view
14353,control,old page,view
15740,control,old page,view
13815,control,old page,view
15737,control,old page,view
15240,control,old page,view
18082,treatment,new page,view
14017,control,old page,view
12951,control,old page,click
17032,treatment,new page,view
17726,treatment,new page,view
14357,control,old page,view
18195,treatment,new page,click
14393,control,old page,view
17516,treatment,new page,view
13933,control,old page,view
16922,treatment,new page,click
14956,control,old page,view
13388,control,old page,view
15578,control,old page,view
17625,treatment,new page,click
13308,control,old page,view
14171,control,old page,click
18604,treatment,new page,view
15259,control,old page,view
13499,control,old page,view
17578,treatment,new page,view
17600,treatment,new page,view
14899,control,old page,view
14389,control,old page,view
13101,control,old page,view
15081,control,old page,view
17783,treatment,new page,click
17441,treatment,new page,click
13526,control,old page,view
13465,control,old page,view
15413,control,old page,view
13032,control,old page,view
17146,treatment,new page,click
17919,treatment,new page,view
17712,treatment,new page,view
17700,treatment,new page,view
13382,control,old page,view
18087,treatment,new page,click
14981,control,old page,click
15290,control,old page,view
14327,control,old page,view
13944,control,old page,view
15090,control,old page,click
14310,control,old page,click
15113,control,old page,view
17674,treatment,new page,view
15709,control,old page,view
13129,control,old page,view
13479,control,old page,view
14934,control,old page,view
14370,control,old page,view
17983,treatment,new page,view
17777,treatment,new page,view
15521,control,old page,view
18478,treatment,new page,view
18497,treatment,new page,view
15361,control,old page,view
14807,control,old page,view
18661,treatment,new page,view
18326,treatment,new page,click
13288,control,old page,click
14572,control,old page,view
17435,treatment,new page,view
15008,control,old page,view
17738,treatment,new page,view
15455,control,old page,view
17378,treatment,new page,click
14406,control,old page,view
17920,treatment,new page,view
14092,control,old page,view
15701,control,old page,click
17551,treatment,new page,view
14149,control,old page,click
15237,control,old page,view
18562,treatment,new page,view
17887,treatment,new page,click
15450,control,old page,click
14937,control,old page,view
14053,control,old page,click
18466,treatment,new page,view
13066,control,old page,view
18174,treatment,new page,view
13499,control,old page,view
14914,control,old page,view
15371,control,old page,click
15089,control,old page,click
18066,treatment,new page,click
17437,treatment,new page,click
13078,control,old page,view
17924,treatment,new page,view
17453,treatment,new page,view
17461,treatment,new page,view
18350,treatment,new page,view
16917,treatment,new page,view
17542,treatment,new page,click
18136,treatment,new page,click
13401,control,old page,click
17502,treatment,new page,view
15698,control,old page,click
15648,control,old page,view
14085,control,old page,view
13352,control,old page,view
13550,control,old page,view
13449,control,old page,view
17916,treatment,new page,view
17379,treatment,new page,click
18348,treatment,new page,view
16902,treatment,new page,view
18448,treatment,new page,view
15685,control,old page,view
13541,control,old page,click
17384,treatment,new page,view
12923,control,old page,view
13664,control,old page,click
18360,treatment,new page,view
17177,treatment,new page,view
14302,control,old page,view
17337,treatment,new page,view
18641,treatment,new page,view
13917,control,old page,view
16881,treatment,new page,click
14479,control,old page,view
13617,control,old page,click
17525,treatment,new page,view
13119,control,old page,view
13345,control,old page,click
17591,treatment,new page,view
14406,control,old page,click
15371,control,old page,view
13392,control,old page,click
17971,treatment,new page,click
18253,treatment,new page,view
13599,control,old page,view
18212,treatment,new page,view
13635,control,old page,click
13048,control,old page,click
18632,treatment,new page,view
14704,control,old page,view
15188,control,old page,view
15744,control,old page,view
14925,control,old page,click
18114,treatment,new page,view
13320,control,old page,view
16920,treatment,new page,view
17284,treatment,new page,view
15266,control,old page,click
14640,control,old page,view
13267,control,old page,view
13625,control,old page,click
14602,control,old page,view
16999,treatment,new page,view
18137,treatment,new page,view
13882,control,old page,click
17960,treatment,new page,view
18520,treatment,new page,view
17338,treatment,new page,view
14790,control,old page,click
14458,control,old page,view
14634,control,old page,view
13288,control,old page,click
15305,control,old page,view
17028,treatment,new page,view
14018,control,old page,view
17890,treatment,new page,view
14851,control,old page,view
17973,treatment,new page,view
13813,control,old page,view
17102,treatment,new page,click
13421,control,old page,view
17977,treatment,new page,view
13494,control,old page,view
14626,control,old page,view
18433,treatment,new page,view
17435,treatment,new page,view
18222,treatment,new page,view
15465,control,old page,view
17654,treatment,new page,view
17740,treatment,new page,click
17401,treatment,new page,view
13710,control,old page,view
17076,treatment,new page,view
17606,treatment,new page,view
17204,treatment,new page,view
18663,treatment,new page,view
17723,treatment,new page,view
17198,treatment,new page,view
18603,treatment,new page,view
17331,treatment,new page,click
18483,treatment,new page,click
14112,control,old page,view
17745,treatment,new page,view
17916,treatment,new page,view
14479,control,old page,view
15043,control,old page,view
17472,treatment,new page,click
17371,treatment,new page,view
14752,control,old page,view
14723,control,old page,click
14192,control,old page,click
13909,control,old page,view
18613,treatment,new page,view
13608,control,old page,view
18577,treatment,new page,view
18051,treatment,new page,click
14802,control,old page,click
14591,control,old page,view
15610,control,old page,view
18581,treatment,new page,view
14502,control,old page,view
12930,control,old page,view
15223,control,old page,view
14689,control,old page,click
17162,treatment,new page,view
12893,control,old page,click
17921,treatment,new page,view
15629,control,old page,view
18513,treatment,new page,view
15390,control,old page,view
18642,treatment,new page,view
18623,treatment,new page,view
13298,control,old page,click
16903,treatment,new page,view
15044,control,old page,click
15237,control,old page,view
17404,treatment,new page,click
14577,control,old page,view
15343,control,old page,view
13397,control,old page,view
17281,treatment,new page,view
17626,treatment,new page,view
17842,treatment,new page,view
14465,control,old page,view
13149,control,old page,view
15727,control,old page,view
13179,control,old page,view
14199,control,old page,view
15753,control,old page,click
15580,control,old page,view
15369,control,old page,view
16989,treatment,new page,view
18391,treatment,new page,view
17895,treatment,new page,view
18257,treatment,new page,click
13112,control,old page,view
14537,control,old page,view
14518,control,old page,view
15512,control,old page,view
13803,control,old page,view
18016,treatment,new page,view
16887,treatment,new page,view
13438,control,old page,view
17535,treatment,new page,view
13386,control,old page,view
17216,treatment,new page,view
17540,treatment,new page,view
13681,control,old page,view
17410,treatment,new page,view
14400,control,old page,click
14574,control,old page,view
13026,control,old page,click
14348,control,old page,click
18094,treatment,new page,view
15281,control,old page,view
18606,treatment,new page,view
17777,treatment,new page,view
15165,control,old page,view
15194,control,old page,view
17363,treatment,new page,view
17806,treatment,new page,view
17825,treatment,new page,view
17243,treatment,new page,click
14177,control,old page,click
13406,control,old page,view
18682,treatment,new page,view
17362,treatment,new page,view
17755,treatment,new page,view
18455,treatment,new page,view
13212,control,old page,view
14103,control,old page,view
14774,control,old page,view
15048,control,old page,click
18268,treatment,new page,view
17236,treatment,new page,view
15695,control,old page,view
15345,control,old page,view
14761,control,old page,view
17618,treatment,new page,view
12904,control,old page,click
14663,control,old page,view
14162,control,old page,view
15475,control,old page,view
13208,control,old page,click
17618,treatment,new page,view
18273,treatment,new page,view
13160,control,old page,view
17154,treatment,new page,view
13720,control,old page,view
15675,control,old page,view
14487,control,old page,view
18187,treatment,new page,view
18053,treatment,new page,view
15087,control,old page,view
13162,control,old page,click
18454,treatment,new page,click
18340,treatment,new page,view
18492,treatment,new page,view
15445,control,old page,view
14487,control,old page,view
14431,control,old page,view
13862,control,old page,view
14702,control,old page,view
15734,control,old page,view
17315,treatment,new page,click
17083,treatment,new page,view
14533,control,old page,click
14109,control,old page,click
13294,control,old page,view
18212,treatment,new page,view
17799,treatment,new page,view
15511,control,old page,view
17096,treatment,new page,view
14972,control,old page,click
18486,treatment,new page,view
17211,treatment,new page,view
15576,control,old page,view
15218,control,old page,view
17355,treatment,new page,view
15226,control,old page,view
16915,treatment,new page,view
14810,control,old page,view
13199,control,old page,click
18045,treatment,new page,view
16969,treatment,new page,view
17022,treatment,new page,view
18178,treatment,new page,view
17854,treatment,new page,view
15550,control,old page,click
14601,control,old page,view
12928,control,old page,click
18419,treatment,new page,click
18531,treatment,new page,view
13653,control,old page,click
13231,control,old page,view
18149,treatment,new page,view
12916,control,old page,view
17950,treatment,new page,view
18036,treatment,new page,view
17616,treatment,new page,view
14571,control,old page,view
18102,treatment,new page,click
14721,control,old page,view
18287,treatment,new page,view
18124,treatment,new page,view
17834,treatment,new page,view
18287,treatment,new page,view
13744,control,old page,view
17990,treatment,new page,view
14564,control,old page,view
17866,treatment,new page,click
17310,treatment,new page,click
17611,treatment,new page,click
13300,control,old page,view
14137,control,old page,view
15011,control,old page,view
13058,control,old page,view
18301,treatment,new page,click
17065,treatment,new page,view
14746,control,old page,view
13349,control,old page,click
18323,treatment,new page,click
14920,control,old page,view
15429,control,old page,view
17762,treatment,new page,view
18449,treatment,new page,view
13210,control,old page,view
17461,treatment,new page,view
16999,treatment,new page,view
13129,control,old page,click
18547,treatment,new page,view
18256,treatment,new page,view
17025,treatment,new page,click
15240,control,old page,view
17956,treatment,new page,click
17135,treatment,new page,view
13688,control,old page,view
14370,control,old page,click
13514,control,old page,click
13246,control,old page,view
17395,treatment,new page,view
17254,treatment,new page,click
13597,control,old page,view
17842,treatment,new page,click
13158,control,old page,view
17308,treatment,new page,view
17693,treatment,new page,click
13558,control,old page,view
17328,treatment,new page,view
14289,control,old page,click
17894,treatment,new page,click
18454,treatment,new page,view
17405,treatment,new page,view
13349,control,old page,view
17343,treatment,new page,view
18193,treatment,new page,view
14559,control,old page,click
17347,treatment,new page,view
15372,control,old page,view
15431,control,old page,view
18654,treatment,new page,view
18603,treatment,new page,view
17661,treatment,new page,view
17163,treatment,new page,view
15412,control,old page,view
14963,control,old page,view
14101,control,old page,view
15367,control,old page,view
14605,control,old page,view
18379,treatment,new page,view
17587,treatment,new page,click
18254,treatment,new page,click
14909,control,old page,view
15539,control,old page,view
12948,control,old page,view
16991,treatment,new page,view
14956,control,old page,view
15337,control,old page,view
17690,treatment,new page,view
18020,treatment,new page,view
17379,treatment,new page,view
14139,control,old page,view
13382,control,old page,view
15637,control,old page,click
17957,treatment,new page,view
13495,control,old page,view
13404,control,old page,click
17230,treatment,new page,click
14858,control,old page,view
16938,treatment,new page,view
14502,control,old page,view
17611,treatment,new page,view
15464,control,old page,view
14485,control,old page,click
13187,control,old page,click
17832,treatment,new page,view
17382,treatment,new page,view
15391,control,old page,view
17108,treatment,new page,view
18096,treatment,new page,view
14508,control,old page,view
15529,control,old page,view
17883,treatment,new page,view
13538,control,old page,click
14400,control,old page,view
15139,control,old page,click
15542,control,old page,click
13369,control,old page,view
15306,control,old page,click
15323,control,old page,view
17174,treatment,new page,view
15369,control,old page,view
14015,control,old page,view
16995,treatment,new page,view
15596,control,old page,view
17041,treatment,new page,click
18625,treatment,new page,view
15583,control,old page,view
17087,treatment,new page,view
17057,treatment,new page,click
15193,control,old page,view
15125,control,old page,view
17809,treatment,new page,click
16962,treatment,new page,view
18599,treatment,new page,view
15326,control,old page,view
14428,control,old page,view
17626,treatment,new page,view
14111,control,old page,view
17181,treatment,new page,view
17162,treatment,new page,click
15423,control,old page,view
17948,treatment,new page,view
15677,control,old page,view
16914,treatment,new page,view
17418,treatment,new page,view
18303,treatment,new page,click
18012,treatment,new page,view
18004,treatment,new page,click
17909,treatment,new page,click
15524,control,old page,click
18208,treatment,new page,view
13859,control,old page,view
18688,treatment,new page,view
15681,control,old page,view
14207,control,old page,view
15236,control,old page,view
15358,control,old page,view
13427,control,old page,view
15128,control,old page,view
14281,control,old page,view
13286,control,old page,view
13081,control,old page,view
14092,control,old page,view
14896,control,old page,click
18661,treatment,new page,view
14424,control,old page,view
14224,control,old page,view
18599,treatment,new page,view
14596,control,old page,view
17402,treatment,new page,view
17635,treatment,new page,view
13279,control,old page,view
14910,control,old page,view
13616,control,old page,view
14367,control,old page,view
15272,control,old page,click
17002,treatment,new page,view
15538,control,old page,view
14830,control,old page,view
17344,treatment,new page,view
14604,control,old page,view
16949,treatment,new page,click
17821,treatment,new page,view
17284,treatment,new page,view
17616,treatment,new page,view
18030,treatment,new page,view
17468,treatment,new page,view
14164,control,old page,view
14215,control,old page,view
14178,control,old page,view
14564,control,old page,click
17595,treatment,new page,view
13433,control,old page,view
13642,control,old page,click
12896,control,old page,view
15315,control,old page,view
14960,control,old page,view
14167,control,old page,view
18331,treatment,new page,view
15702,control,old page,view
14980,control,old page,click
15583,control,old page,view
17386,treatment,new page,view
17206,treatment,new page,click
15497,control,old page,view
18450,treatment,new page,view
17239,treatment,new page,view
13706,control,old page,view
15398,control,old page,view
18460,treatment,new page,click
17859,treatment,new page,view
13311,control,old page,view
15513,control,old page,click
17596,treatment,new page,view
13714,control,old page,view
17365,treatment,new page,click
14901,control,old page,click
15308,control,old page,click
13761,control,old page,view
14940,control,old page,view
18211,treatment,new page,click
12980,control,old page,view
17774,treatment,new page,view
13113,control,old page,view
14961,control,old page,view
18281,treatment,new page,view
14045,control,old page,view
18529,treatment,new page,view
16984,treatment,new page,view
18170,treatment,new page,view
13278,control,old page,click
17767,treatment,new page,view
18490,treatment,new page,view
18235,treatment,new page,view
15434,control,old page,view
18581,treatment,new page,view
13534,control,old page,view
17628,treatment,new page,view
15383,control,old page,view
13914,control,old page,click
13602,control,old page,view
13744,control,old page,view
15297,control,old page,view
18503,treatment,new page,click
15175,control,old page,view
13602,control,old page,view
14830,control,old page,view
18155,treatment,new page,view
15604,control,old page,view
18302,treatment,new page,click
17597,treatment,new page,view
12993,control,old page,view
14669,control,old page,view
17684,treatment,new page,click
14402,control,old page,view
14540,control,old page,click
14306,control,old page,view
13739,control,old page,view
14085,control,old page,view
14487,control,old page,view
15062,control,old page,view
13002,control,old page,view
17453,treatment,new page,view
17932,treatment,new page,view
17738,treatment,new page,click
16926,treatment,new page,click
15755,control,old page,view
17925,treatment,new page,click
17547,treatment,new page,view
18220,treatment,new page,view
13169,control,old page,view
15317,control,old page,view
15284,control,old page,view
18083,treatment,new page,view
14170,control,old page,view
14765,control,old page,view
15008,control,old page,view
14889,control,old page,view
17385,treatment,new page,view
12987,control,old page,click
13636,control,old page,click
17800,treatment,new page,click
14285,control,old page,view
18190,treatment,new page,click
13001,control,old page,click
17680,treatment,new page,view
16998,treatment,new page,view
14713,control,old page,click
14321,control,old page,view
17887,treatment,new page,click
13328,control,old page,view
15391,control,old page,view
13829,control,old page,view
13406,control,old page,view
18556,treatment,new page,view
14657,control,old page,view
18468,treatment,new page,view
18478,treatment,new page,view
16921,treatment,new page,view
16957,treatment,new page,view
18202,treatment,new page,view
18166,treatment,new page,click
16945,treatment,new page,view
17466,treatment,new page,view
16920,treatment,new page,click
17110,treatment,new page,view
14004,control,old page,view
15673,control,old page,view
13631,control,old page,click
17987,treatment,new page,view
14464,control,old page,view
18224,treatment,new page,view
18467,treatment,new page,view
18629,treatment,new page,click
15304,control,old page,view
14462,control,old page,view
13377,control,old page,click
15687,control,old page,view
18197,treatment,new page,view
17995,treatment,new page,view
14324,control,old page,view
15319,control,old page,view
17957,treatment,new page,view
13213,control,old page,view
13365,control,old page,view
18667,treatment,new page,click
14749,control,old page,view
17127,treatment,new page,view
15224,control,old page,view
17861,treatment,new page,view
15356,control,old page,view
18221,treatment,new page,click
17984,treatment,new page,click
14890,control,old page,click
17462,treatment,new page,view
15259,control,old page,click
17442,treatment,new page,click
15195,control,old page,click
14067,control,old page,view
18319,treatment,new page,view
14180,control,old page,click
18556,treatment,new page,view
15002,control,old page,view
13072,control,old page,view
13916,control,old page,click
13531,control,old page,view
17885,treatment,new page,view
13891,control,old page,click
18118,treatment,new page,view
14919,control,old page,click
17501,treatment,new page,view
13839,control,old page,view
13518,control,old page,view
14191,control,old page,click
15536,control,old page,click
17011,treatment,new page,view
17641,treatment,new page,view
15112,control,old page,view
13299,control,old page,view
17649,treatment,new page,view
17378,treatment,new page,view
14945,control,old page,view
18327,treatment,new page,view
17497,treatment,new page,click
18436,treatment,new page,view
18431,treatment,new page,view
13266,control,old page,view
17165,treatment,new page,view
17482,treatment,new page,click
15201,control,old page,view
17262,treatment,new page,view
13182,control,old page,view
17046,treatment,new page,view
18604,treatment,new page,click
14446,control,old page,view
18396,treatment,new page,view
14117,control,old page,click
17777,treatment,new page,view
