id,group,page,session_time
16422,control,old page,2
13624,control,old page,1
14229,control,old page,2
17165,treatment,new page,2
18309,treatment,new page,2
14039,control,old page,1.5
19099,treatment,new page,2.5
13853,control,old page,2.5
15591,control,old page,2
16849,treatment,new page,2
13591,control,old page,1
16502,control,old page,1
17375,treatment,new page,2
16232,control,old page,2.5
14828,control,old page,1.5
15750,control,old page,2
17202,treatment,new page,2
14351,control,old page,2
14210,control,old page,1.5
15479,control,old page,2.5
18989,treatment,new page,2.5
13423,control,old page,1
16478,control,old page,2.5
15307,control,old page,2
14327,control,old page,1
16009,control,old page,1.5
14973,control,old page,2.5
14066,control,old page,1
15201,control,old page,2.5
14857,control,old page,2.5
13735,control,old page,2
15430,control,old page,1
13391,control,old page,1
16028,control,old page,1
13399,control,old page,1.5
14653,control,old page,1
14126,control,old page,1.5
19393,treatment,new page,2.5
18995,treatment,new page,2.5
17190,treatment,new page,2
15845,control,old page,1.5
19404,treatment,new page,2
19128,treatment,new page,2.5
16342,control,old page,2
17288,treatment,new page,2
17811,treatment,new page,2
17667,treatment,new page,2.5
15085,control,old page,2.5
19456,treatment,new page,2
19328,treatment,new page,2
14625,control,old page,1
15626,control,old page,1
13492,control,old page,1.5
17566,treatment,new page,2
18441,treatment,new page,2.5
15348,control,old page,2.5
16836,treatment,new page,2
14989,control,old page,2
18564,treatment,new page,2.5
16836,treatment,new page,2.5
18137,treatment,new page,2
15623,control,old page,1
15871,control,old page,1.5
15664,control,old page,2.5
14798,control,old page,1
14529,control,old page,1
15177,control,old page,2
17647,treatment,new page,2
17977,treatment,new page,2
15581,control,old page,2.5
16039,control,old page,2
15594,control,old page,1
15532,control,old page,2.5
18488,treatment,new page,2.5
17113,treatment,new page,2.5
18949,treatment,new page,2
17752,treatment,new page,2
13969,control,old page,1
13116,control,old page,1.5
17417,treatment,new page,2.5
17666,treatment,new page,2
13037,control,old page,2.5
16646,control,old page,2.5
16113,control,old page,1
18195,treatment,new page,2
16297,control,old page,1
16222,control,old page,1.5
17646,treatment,new page,2
16458,control,old page,1.5
15023,control,old page,1.5
14067,control,old page,1
14086,control,old page,2.5
18054,treatment,new page,2.5
13897,control,old page,1
14520,control,old page,2.5
16219,control,old page,1
14698,control,old page,2.5
13907,control,old page,2.5
15418,control,old page,2
17213,treatment,new page,2
15940,control,old page,2
14362,control,old page,2.5
14819,control,old page,2
19222,treatment,new page,2
16552,control,old page,1
19678,treatment,new page,2
16708,treatment,new page,2
16795,treatment,new page,2
14256,control,old page,1.5
15136,control,old page,2
13690,control,old page,1.5
13559,control,old page,2
14933,control,old page,1
14149,control,old page,1.5
17098,treatment,new page,2
13705,control,old page,2
14690,control,old page,2.5
16008,control,old page,1
17872,treatment,new page,2.5
17114,treatment,new page,2.5
16616,control,old page,2.5
15240,control,old page,2.5
16941,treatment,new page,2.5
16716,treatment,new page,2.5
13412,control,old page,2
17947,treatment,new page,2
16160,control,old page,1.5
16757,treatment,new page,2
15926,control,old page,1
17485,treatment,new page,2.5
18190,treatment,new page,2.5
15400,control,old page,2.5
18782,treatment,new page,2
13959,control,old page,1
17927,treatment,new page,2.5
15123,control,old page,2
15293,control,old page,2
16023,control,old page,2.5
16462,control,old page,1
18340,treatment,new page,2.5
13251,control,old page,1.5
18940,treatment,new page,2.5
19405,treatment,new page,2
14893,control,old page,2.5
19483,treatment,new page,2.5
17926,treatment,new page,2
15837,control,old page,1
16026,control,old page,1.5
13032,control,old page,2.5
16414,control,old page,1.5
15591,control,old page,2.5
15978,control,old page,2.5
14384,control,old page,1
16327,control,old page,2
13397,control,old page,2
14716,control,old page,1.5
17778,treatment,new page,2
16483,control,old page,2
17840,treatment,new page,2.5
19868,treatment,new page,2
14200,control,old page,1.5
14151,control,old page,1
17748,treatment,new page,2.5
18114,treatment,new page,2
16345,control,old page,1.5
16848,treatment,new page,2
18972,treatment,new page,2.5
18112,treatment,new page,2.5
17649,treatment,new page,2
15511,control,old page,1
19340,treatment,new page,2
19383,treatment,new page,2.5
19261,treatment,new page,2.5
18599,treatment,new page,2
14837,control,old page,2
14024,control,old page,1
14510,control,old page,1.5
17208,treatment,new page,2
14507,control,old page,2
13064,control,old page,2
16864,treatment,new page,2
14021,control,old page,1
14868,control,old page,1.5
15952,control,old page,2
13249,control,old page,2.5
15645,control,old page,2
15528,control,old page,1.5
14834,control,old page,2
18328,treatment,new page,2
18109,treatment,new page,2.5
14649,control,old page,2
17970,treatment,new page,2.5
19846,treatment,new page,2
14096,control,old page,2
14444,control,old page,1.5
13168,control,old page,1.5
14328,control,old page,2
14248,control,old page,2.5
16152,control,old page,1.5
18930,treatment,new page,2.5
18092,treatment,new page,2.5
16414,control,old page,2
18015,treatment,new page,2.5
18468,treatment,new page,2.5
17129,treatment,new page,2.5
19436,treatment,new page,2.5
17255,treatment,new page,2
16838,treatment,new page,2
19115,treatment,new page,2.5
17312,treatment,new page,2.5
15199,control,old page,2
18533,treatment,new page,2
17156,treatment,new page,2.5
14556,control,old page,1.5
14260,control,old page,1.5
14145,control,old page,1.5
19242,treatment,new page,2.5
15651,control,old page,2.5
16429,control,old page,1
15074,control,old page,2.5
18063,treatment,new page,2.5
13758,control,old page,1.5
19867,treatment,new page,2
13204,control,old page,2
19154,treatment,new page,2
14681,control,old page,2
14198,control,old page,1
13017,control,old page,2
16513,control,old page,2.5
17506,treatment,new page,2
14901,control,old page,2.5
19772,treatment,new page,2.5
19615,treatment,new page,2.5
15232,control,old page,2
16696,treatment,new page,2.5
13949,control,old page,1.5
14994,control,old page,1
13284,control,old page,2.5
14128,control,old page,1.5
15219,control,old page,1
15459,control,old page,2
13973,control,old page,1.5
16940,treatment,new page,2.5
15517,control,old page,1
15151,control,old page,1.5
16165,control,old page,2
13692,control,old page,2.5
13883,control,old page,1.5
14271,control,old page,1
15452,control,old page,2
15233,control,old page,1.5
19492,treatment,new page,2.5
14221,control,old page,2.5
19125,treatment,new page,2
16103,control,old page,1
16537,control,old page,2.5
15276,control,old page,2
14936,control,old page,1.5
19789,treatment,new page,2
17196,treatment,new page,2
16475,control,old page,1
14273,control,old page,1.5
16186,control,old page,1.5
16149,control,old page,1
19593,treatment,new page,2.5
16206,control,old page,2
15157,control,old page,1
13276,control,old page,2
13628,control,old page,2
16021,control,old page,2
16808,treatment,new page,2.5
16629,control,old page,1.5
13717,control,old page,1
14242,control,old page,1
18368,treatment,new page,2.5
18988,treatment,new page,2.5
13156,control,old page,2
19151,treatment,new page,2
13297,control,old page,1
15833,control,old page,1.5
19013,treatment,new page,2.5
17081,treatment,new page,2
14002,control,old page,2.5
14894,control,old page,1
17246,treatment,new page,2
15929,control,old page,2.5
16201,control,old page,2.5
15034,control,old page,1.5
13776,control,old page,2.5
16988,treatment,new page,2
15367,control,old page,1.5
16587,control,old page,2
17601,treatment,new page,2
13962,control,old page,2.5
13341,control,old page,1.5
17776,treatment,new page,2.5
13914,control,old page,2.5
16433,control,old page,1.5
13045,control,old page,1
14038,control,old page,2.5
14315,control,old page,2.5
13471,control,old page,2
18330,treatment,new page,2.5
15311,control,old page,1
16522,control,old page,1
14702,control,old page,1.5
17447,treatment,new page,2
15351,control,old page,1
15812,control,old page,1.5
13143,control,old page,1.5
16829,treatment,new page,2
14781,control,old page,1
15670,control,old page,2.5
18731,treatment,new page,2
16706,treatment,new page,2.5
18146,treatment,new page,2.5
17929,treatment,new page,2.5
13236,control,old page,2.5
17797,treatment,new page,2
15145,control,old page,1
18837,treatment,new page,2
13713,control,old page,2.5
18439,treatment,new page,2
14728,control,old page,1.5
16490,control,old page,1.5
17850,treatment,new page,2.5
17946,treatment,new page,2
14014,control,old page,1
15341,control,old page,1.5
19669,treatment,new page,2
18543,treatment,new page,2.5
14218,control,old page,1
15513,control,old page,1.5
13644,control,old page,1.5
18655,treatment,new page,2.5
16575,control,old page,1.5
17602,treatment,new page,2.5
14970,control,old page,2.5
18428,treatment,new page,2.5
13120,control,old page,1
16054,control,old page,2.5
13057,control,old page,1
19412,treatment,new page,2.5
17841,treatment,new page,2.5
15626,control,old page,2
17360,treatment,new page,2.5
15381,control,old page,1.5
16972,treatment,new page,2
16073,control,old page,1
14163,control,old page,2
16096,control,old page,2
16792,treatment,new page,2.5
19545,treatment,new page,2
14442,control,old page,2.5
13893,control,old page,1.5
14937,control,old page,1
17908,treatment,new page,2
18668,treatment,new page,2
14539,control,old page,1
13992,control,old page,2.5
14929,control,old page,2
15659,control,old page,1.5
17063,treatment,new page,2.5
19605,treatment,new page,2
17944,treatment,new page,2
16419,control,old page,2
17351,treatment,new page,2
19546,treatment,new page,2
13046,control,old page,2
18555,treatment,new page,2.5
18064,treatment,new page,2
19428,treatment,new page,2
17683,treatment,new page,2.5
19369,treatment,new page,2.5
14910,control,old page,2.5
14670,control,old page,2
14939,control,old page,1.5
17786,treatment,new page,2.5
14636,control,old page,2
13437,control,old page,1
14750,control,old page,2
18606,treatment,new page,2
15315,control,old page,2
19040,treatment,new page,2
17769,treatment,new page,2
17347,treatment,new page,2.5
19518,treatment,new page,2
18889,treatment,new page,2
18412,treatment,new page,2
17544,treatment,new page,2
16390,control,old page,2
13841,control,old page,2
13105,control,old page,2
16304,control,old page,1.5
18816,treatment,new page,2.5
19186,treatment,new page,2.5
17945,treatment,new page,2.5
18537,treatment,new page,2
15828,control,old page,1
15497,control,old page,1.5
17182,treatment,new page,2
14258,control,old page,2
13296,control,old page,2.5
14315,control,old page,1
15875,control,old page,2.5
13966,control,old page,2.5
15260,control,old page,2
15841,control,old page,1.5
19767,treatment,new page,2.5
19442,treatment,new page,2.5
19665,treatment,new page,2.5
18335,treatment,new page,2
14996,control,old page,2
19106,treatment,new page,2
19119,treatment,new page,2.5
18667,treatment,new page,2
13710,control,old page,1
17665,treatment,new page,2.5
13616,control,old page,1.5
15676,control,old page,1
13381,control,old page,1
18876,treatment,new page,2.5
15863,control,old page,2.5
18685,treatment,new page,2
17387,treatment,new page,2
14450,control,old page,1.5
17884,treatment,new page,2.5
13606,control,old page,1.5
19296,treatment,new page,2
18172,treatment,new page,2.5
19159,treatment,new page,2.5
17180,treatment,new page,2.5
17172,treatment,new page,2
14872,control,old page,2.5
17671,treatment,new page,2
16215,control,old page,2.5
16969,treatment,new page,2
15885,control,old page,1.5
18181,treatment,new page,2.5
13354,control,old page,2.5
13454,control,old page,1
18091,treatment,new page,2
19267,treatment,new page,2.5
14666,control,old page,2
18576,treatment,new page,2
19640,treatment,new page,2.5
14650,control,old page,2
18047,treatment,new page,2.5
15656,control,old page,2
19323,treatment,new page,2.5
16307,control,old page,1
14903,control,old page,1
16801,treatment,new page,2
14207,control,old page,2
15268,control,old page,2.5
16840,treatment,new page,2.5
14904,control,old page,1.5
16368,control,old page,1
16375,control,old page,2
16469,control,old page,2
13497,control,old page,2.5
18082,treatment,new page,2
18602,treatment,new page,2.5
15502,control,old page,2
14821,control,old page,1
14303,control,old page,2
18852,treatment,new page,2
13226,control,old page,1
16496,control,old page,1
18607,treatment,new page,2.5
19782,treatment,new page,2
15901,control,old page,2.5
18559,treatment,new page,2.5
19002,treatment,new page,2
19833,treatment,new page,2.5
13404,control,old page,2
15596,control,old page,2.5
18926,treatment,new page,2.5
14127,control,old page,1.5
15143,control,old page,1
13330,control,old page,2
13447,control,old page,2
14193,control,old page,2
18130,treatment,new page,2
19775,treatment,new page,2.5
18189,treatment,new page,2.5
19488,treatment,new page,2
13233,control,old page,2
16448,control,old page,2.5
16498,control,old page,2.5
16096,control,old page,2
18639,treatment,new page,2.5
13443,control,old page,2.5
16286,control,old page,2
15212,control,old page,1
13112,control,old page,2.5
18784,treatment,new page,2
17941,treatment,new page,2
19479,treatment,new page,2.5
16734,treatment,new page,2.5
17648,treatment,new page,2.5
14341,control,old page,2
14085,control,old page,2
18820,treatment,new page,2
18759,treatment,new page,2.5
13915,control,old page,1.5
19339,treatment,new page,2.5
16098,control,old page,2
14112,control,old page,2
15989,control,old page,1
14222,control,old page,2
13416,control,old page,2
15694,control,old page,2.5
13144,control,old page,2.5
16239,control,old page,1.5
16105,control,old page,2.5
19827,treatment,new page,2.5
13642,control,old page,1
14406,control,old page,1
19695,treatment,new page,2
13646,control,old page,1
16211,control,old page,1.5
14581,control,old page,2
19870,treatment,new page,2.5
14488,control,old page,2
17629,treatment,new page,2.5
14779,control,old page,1
18156,treatment,new page,2
18651,treatment,new page,2.5
16198,control,old page,1.5
17773,treatment,new page,2
15644,control,old page,2
14355,control,old page,2.5
13783,control,old page,1
13109,control,old page,1
19719,treatment,new page,2.5
15073,control,old page,1
13291,control,old page,1.5
15259,control,old page,2.5
19359,treatment,new page,2.5
13014,control,old page,2.5
14023,control,old page,2.5
14287,control,old page,2.5
13163,control,old page,1
13457,control,old page,1
18435,treatment,new page,2.5
13216,control,old page,1
13708,control,old page,1
18246,treatment,new page,2
17144,treatment,new page,2
15194,control,old page,1
15865,control,old page,2.5
18222,treatment,new page,2
18204,treatment,new page,2.5
18471,treatment,new page,2.5
19101,treatment,new page,2.5
13212,control,old page,2.5
17458,treatment,new page,2
14733,control,old page,2
16520,control,old page,2
13279,control,old page,2.5
15997,control,old page,2
13602,control,old page,2.5
19600,treatment,new page,2.5
13662,control,old page,2.5
14868,control,old page,1.5
19718,treatment,new page,2
16542,control,old page,2.5
14683,control,old page,1
19815,treatment,new page,2.5
13549,control,old page,2
17349,treatment,new page,2
16533,control,old page,2.5
16891,treatment,new page,2.5
19630,treatment,new page,2.5
18001,treatment,new page,2
13842,control,old page,2.5
14573,control,old page,2
17352,treatment,new page,2
15700,control,old page,2
15823,control,old page,1
16543,control,old page,2.5
14592,control,old page,2
15427,control,old page,2
15898,control,old page,1.5
15680,control,old page,1
17216,treatment,new page,2.5
14968,control,old page,1.5
14650,control,old page,1
14474,control,old page,1
18366,treatment,new page,2.5
15378,control,old page,1
16189,control,old page,1.5
16396,control,old page,1.5
14979,control,old page,2
14927,control,old page,1
19755,treatment,new page,2.5
18788,treatment,new page,2.5
19039,treatment,new page,2.5
13991,control,old page,1
13649,control,old page,2
16896,treatment,new page,2.5
19483,treatment,new page,2
17571,treatment,new page,2
19674,treatment,new page,2.5
17528,treatment,new page,2
13921,control,old page,1
17761,treatment,new page,2.5
15434,control,old page,2
13342,control,old page,1.5
14911,control,old page,1.5
17942,treatment,new page,2.5
17305,treatment,new page,2
13965,control,old page,2.5
15135,control,old page,1.5
16685,treatment,new page,2
19125,treatment,new page,2
18679,treatment,new page,2
18997,treatment,new page,2.5
13500,control,old page,2.5
16878,treatment,new page,2
13742,control,old page,1
19526,treatment,new page,2
13872,control,old page,2.5
19183,treatment,new page,2.5
19385,treatment,new page,2.5
16214,control,old page,2.5
15327,control,old page,2.5
13941,control,old page,2.5
15045,control,old page,1.5
19161,treatment,new page,2.5
13638,control,old page,2
18692,treatment,new page,2.5
18757,treatment,new page,2
19610,treatment,new page,2
13716,control,old page,1
19812,treatment,new page,2
19356,treatment,new page,2
13150,control,old page,1.5
19096,treatment,new page,2.5
14360,control,old page,1
19088,treatment,new page,2
18827,treatment,new page,2.5
15951,control,old page,2.5
14708,control,old page,2
17036,treatment,new page,2
16436,control,old page,2
15018,control,old page,1.5
16511,control,old page,1.5
14358,control,old page,2
16365,control,old page,1.5
19175,treatment,new page,2.5
16768,treatment,new page,2
14581,control,old page,2.5
13010,control,old page,1.5
19272,treatment,new page,2.5
16423,control,old page,1
14447,control,old page,1.5
14984,control,old page,2.5
15654,control,old page,1.5
16291,control,old page,1
14266,control,old page,1
18326,treatment,new page,2
13783,control,old page,2.5
13461,control,old page,2.5
17983,treatment,new page,2
15825,control,old page,1.5
16872,treatment,new page,2.5
17964,treatment,new page,2.5
17199,treatment,new page,2
17439,treatment,new page,2.5
19562,treatment,new page,2
16924,treatment,new page,2
15123,control,old page,1.5
14059,control,old page,2.5
16834,treatment,new page,2.5
13672,control,old page,2.5
18165,treatment,new page,2
19623,treatment,new page,2
18672,treatment,new page,2
13036,control,old page,1.5
15731,control,old page,1.5
15442,control,old page,2.5
16777,treatment,new page,2.5
16845,treatment,new page,2
19464,treatment,new page,2
17755,treatment,new page,2.5
17593,treatment,new page,2
16888,treatment,new page,2
13790,control,old page,2
19026,treatment,new page,2.5
17583,treatment,new page,2
15583,control,old page,1.5
16625,control,old page,2.5
16251,control,old page,1
13199,control,old page,2.5
13072,control,old page,1.5
15966,control,old page,2.5
17868,treatment,new page,2
17714,treatment,new page,2.5
18539,treatment,new page,2
16300,control,old page,2.5
14677,control,old page,1
18419,treatment,new page,2.5
18836,treatment,new page,2.5
19349,treatment,new page,2.5
18196,treatment,new page,2.5
16726,treatment,new page,2
15023,control,old page,1
19728,treatment,new page,2.5
18653,treatment,new page,2.5
17751,treatment,new page,2
17325,treatment,new page,2
19619,treatment,new page,2
14185,control,old page,1
14692,control,old page,1
14505,control,old page,2.5
15533,control,old page,2.5
13673,control,old page,1.5
17537,treatment,new page,2.5
18609,treatment,new page,2.5
19273,treatment,new page,2
15501,control,old page,1
17674,treatment,new page,2.5
19279,treatment,new page,2.5
14220,control,old page,2
18393,treatment,new page,2.5
17468,treatment,new page,2.5
19162,treatment,new page,2.5
16831,treatment,new page,2.5
19214,treatment,new page,2.5
17000,treatment,new page,2.5
16837,treatment,new page,2
19006,treatment,new page,2.5
16020,control,old page,1.5
16782,treatment,new page,2.5
16317,control,old page,1.5
17746,treatment,new page,2.5
19745,treatment,new page,2.5
17898,treatment,new page,2
15086,control,old page,1
14004,control,old page,1.5
13228,control,old page,1
15153,control,old page,2.5
13723,control,old page,1.5
17387,treatment,new page,2
15075,control,old page,1
17116,treatment,new page,2.5
19259,treatment,new page,2
16707,treatment,new page,2
15788,control,old page,1.5
14631,control,old page,1
14991,control,old page,2.5
16446,control,old page,1.5
16576,control,old page,1
16145,control,old page,1.5
17215,treatment,new page,2.5
15899,control,old page,1.5
15753,control,old page,2.5
17526,treatment,new page,2
16098,control,old page,1.5
17981,treatment,new page,2.5
17938,treatment,new page,2.5
19394,treatment,new page,2.5
13650,control,old page,1.5
15967,control,old page,1.5
17947,treatment,new page,2.5
18532,treatment,new page,2.5
16235,control,old page,1
13765,control,old page,1.5
15036,control,old page,2.5
15828,control,old page,1.5
18897,treatment,new page,2
16085,control,old page,2
17983,treatment,new page,2.5
13483,control,old page,2.5
18963,treatment,new page,2
17241,treatment,new page,2.5
17436,treatment,new page,2
16500,control,old page,1
19628,treatment,new page,2.5
18825,treatment,new page,2.5
13522,control,old page,1.5
13986,control,old page,1.5
13095,control,old page,2
16343,control,old page,2
14010,control,old page,1.5
17735,treatment,new page,2
15953,control,old page,2.5
16932,treatment,new page,2
13627,control,old page,1.5
19071,treatment,new page,2.5
19780,treatment,new page,2.5
14417,control,old page,2
13185,control,old page,1.5
19197,treatment,new page,2.5
13574,control,old page,2
17188,treatment,new page,2.5
15705,control,old page,1.5
16999,treatment,new page,2
17250,treatment,new page,2.5
16684,treatment,new page,2
13428,control,old page,1
16996,treatment,new page,2.5
19398,treatment,new page,2.5
19678,treatment,new page,2
19551,treatment,new page,2
19218,treatment,new page,2
18544,treatment,new page,2.5
15164,control,old page,2
15285,control,old page,1.5
14017,control,old page,2
18875,treatment,new page,2.5
16159,control,old page,1
19632,treatment,new page,2.5
13069,control,old page,1
13663,control,old page,1.5
14612,control,old page,1.5
14129,control,old page,2
13786,control,old page,1
17580,treatment,new page,2.5
15157,control,old page,1
15108,control,old page,2
19202,treatment,new page,2
16075,control,old page,1.5
16702,treatment,new page,2.5
15030,control,old page,1.5
13784,control,old page,1.5
16332,control,old page,2.5
14102,control,old page,2.5
15453,control,old page,2
14577,control,old page,2
14088,control,old page,2
14907,control,old page,2.5
18619,treatment,new page,2.5
14646,control,old page,1.5
19596,treatment,new page,2
13073,control,old page,1.5
14411,control,old page,2.5
15537,control,old page,1.5
17976,treatment,new page,2.5
18488,treatment,new page,2.5
14606,control,old page,2
13936,control,old page,2.5
16871,treatment,new page,2.5
15740,control,old page,2.5
15130,control,old page,1
13820,control,old page,1
16412,control,old page,2
15785,control,old page,1
13593,control,old page,1.5
16947,treatment,new page,2
13569,control,old page,2.5
15208,control,old page,1.5
18278,treatment,new page,2
19762,treatment,new page,2
16908,treatment,new page,2
17687,treatment,new page,2
13906,control,old page,1
13813,control,old page,2.5
13408,control,old page,2.5
17526,treatment,new page,2
13878,control,old page,1.5
16580,control,old page,1
18252,treatment,new page,2.5
17214,treatment,new page,2.5
19333,treatment,new page,2.5
13378,control,old page,2.5
16519,control,old page,1
19296,treatment,new page,2.5
17141,treatment,new page,2.5
17475,treatment,new page,2.5
16945,treatment,new page,2
15981,control,old page,2.5
14518,control,old page,2
18967,treatment,new page,2
18809,treatment,new page,2
19744,treatment,new page,2
13788,control,old page,1
15635,control,old page,2.5
18824,treatment,new page,2
15488,control,old page,2
18398,treatment,new page,2.5
16778,treatment,new page,2
19198,treatment,new page,2
17330,treatment,new page,2.5
17397,treatment,new page,2
14771,control,old page,2.5
19747,treatment,new page,2.5
19480,treatment,new page,2
16226,control,old page,1
17596,treatment,new page,2.5
14700,control,old page,2
14615,control,old page,1.5
15002,control,old page,1.5
13945,control,old page,2.5
14729,control,old page,2.5
19490,treatment,new page,2.5
16484,control,old page,2
18251,treatment,new page,2
13413,control,old page,2.5
13029,control,old page,2
16776,treatment,new page,2
16965,treatment,new page,2.5
18178,treatment,new page,2.5
15131,control,old page,1.5
17303,treatment,new page,2.5
13795,control,old page,1
16927,treatment,new page,2.5
18171,treatment,new page,2
18151,treatment,new page,2
16953,treatment,new page,2
13027,control,old page,1
18833,treatment,new page,2
15871,control,old page,1.5
19066,treatment,new page,2.5
17469,treatment,new page,2.5
15119,control,old page,2
16417,control,old page,2.5
15636,control,old page,2
13605,control,old page,2.5
16637,control,old page,1.5
13722,control,old page,1
19595,treatment,new page,2
15290,control,old page,2.5
16215,control,old page,2
13244,control,old page,2
16994,treatment,new page,2.5
16704,treatment,new page,2.5
15267,control,old page,2
19284,treatment,new page,2.5
14610,control,old page,1.5
18492,treatment,new page,2.5
15060,control,old page,1
16889,treatment,new page,2
13357,control,old page,2
19234,treatment,new page,2.5
14379,control,old page,1
19221,treatment,new page,2
17890,treatment,new page,2.5
16054,control,old page,1
15512,control,old page,1
15970,control,old page,1.5
17881,treatment,new page,2.5
17120,treatment,new page,2.5
14207,control,old page,1
17966,treatment,new page,2
15916,control,old page,2
16581,control,old page,2.5
19399,treatment,new page,2
17230,treatment,new page,2
15908,control,old page,1
18778,treatment,new page,2
16077,control,old page,2
15449,control,old page,1
18957,treatment,new page,2
19847,treatment,new page,2
16958,treatment,new page,2.5
15603,control,old page,2
17956,treatment,new page,2.5
18026,treatment,new page,2
17221,treatment,new page,2.5
16705,treatment,new page,2
16393,control,old page,1.5
18718,treatment,new page,2.5
18251,treatment,new page,2
16617,control,old page,1
13419,control,old page,2.5
19350,treatment,new page,2.5
19343,treatment,new page,2
16330,control,old page,2.5
17611,treatment,new page,2.5
14863,control,old page,2.5
15773,control,old page,1
19714,treatment,new page,2.5
13533,control,old page,1.5
15348,control,old page,1.5
16932,treatment,new page,2
15283,control,old page,2
14703,control,old page,1.5
13740,control,old page,1
16991,treatment,new page,2
13895,control,old page,1.5
14896,control,old page,1
17955,treatment,new page,2.5
15115,control,old page,1
15763,control,old page,1
18134,treatment,new page,2.5
17433,treatment,new page,2.5
17752,treatment,new page,2.5
18821,treatment,new page,2.5
14594,control,old page,2
19010,treatment,new page,2
14081,control,old page,2.5
15961,control,old page,2.5
17478,treatment,new page,2.5
16134,control,old page,2
16753,treatment,new page,2.5
16028,control,old page,2
16758,treatment,new page,2.5
14104,control,old page,1
19379,treatment,new page,2.5
17029,treatment,new page,2.5
14962,control,old page,2.5
13176,control,old page,2.5
18653,treatment,new page,2.5
13096,control,old page,2.5
17331,treatment,new page,2
17700,treatment,new page,2
16413,control,old page,1.5
17621,treatment,new page,2
13403,control,old page,2.5
13596,control,old page,1.5
13277,control,old page,1.5
16198,control,old page,1
14908,control,old page,1.5
13656,control,old page,2
19505,treatment,new page,2.5
13827,control,old page,1.5
15555,control,old page,2.5
14880,control,old page,2
17416,treatment,new page,2
15510,control,old page,1
19280,treatment,new page,2
15683,control,old page,1
13309,control,old page,2
13824,control,old page,2
17124,treatment,new page,2.5
