id,group,page,converted
19002,treatment,new page,yes
12254,control,old page,no
12630,control,old page,no
20792,treatment,new page,no
19255,treatment,new page,no
22225,treatment,new page,yes
21525,treatment,new page,no
20397,treatment,new page,no
12112,control,old page,yes
19274,treatment,new page,yes
20460,treatment,new page,no
13104,control,old page,no
20707,treatment,new page,no
12791,control,old page,no
12739,control,old page,no
12812,control,old page,no
13374,control,old page,no
13163,control,old page,yes
20495,treatment,new page,no
22409,treatment,new page,yes
13089,control,old page,yes
19588,treatment,new page,no
20525,treatment,new page,yes
13329,control,old page,yes
12124,control,old page,no
19583,treatment,new page,no
12794,control,old page,no
12876,control,old page,no
22420,treatment,new page,no
19559,treatment,new page,no
21546,treatment,new page,no
20609,treatment,new page,yes
12098,control,old page,yes
13175,control,old page,yes
12882,control,old page,no
20057,treatment,new page,no
21493,treatment,new page,no
12547,control,old page,yes
20288,treatment,new page,no
20168,treatment,new page,no
12936,control,old page,no
20689,treatment,new page,yes
13001,control,old page,yes
12076,control,old page,no
21640,treatment,new page,no
12341,control,old page,yes
13129,control,old page,no
20937,treatment,new page,no
13378,control,old page,no
20018,treatment,new page,no
22367,treatment,new page,no
12097,control,old page,no
20306,treatment,new page,yes
19060,treatment,new page,no
19717,treatment,new page,no
20141,treatment,new page,yes
12009,control,old page,yes
13025,control,old page,no
20652,treatment,new page,yes
13023,control,old page,no
19354,treatment,new page,no
12566,control,old page,yes
22255,treatment,new page,yes
11990,control,old page,no
20763,treatment,new page,yes
12757,control,old page,yes
22307,treatment,new page,no
21917,treatment,new page,no
12078,control,old page,no
22445,treatment,new page,no
12069,control,old page,no
12482,control,old page,no
19776,treatment,new page,no
12331,control,old page,no
12452,control,old page,yes
21510,treatment,new page,no
21312,treatment,new page,no
21613,treatment,new page,no
19691,treatment,new page,no
12159,control,old page,yes
13270,control,old page,no
20084,treatment,new page,no
19190,treatment,new page,no
21590,treatment,new page,no
12496,control,old page,yes
20486,treatment,new page,no
21674,treatment,new page,no
20253,treatment,new page,no
13199,control,old page,no
22202,treatment,new page,yes
13369,control,old page,yes
20765,treatment,new page,no
12572,control,old page,no
21937,treatment,new page,yes
21814,treatment,new page,no
13308,control,old page,no
12171,control,old page,no
20929,treatment,new page,no
20891,treatment,new page,no
12688,control,old page,no
12466,control,old page,no
21845,treatment,new page,yes
20912,treatment,new page,yes
21719,treatment,new page,yes
19985,treatment,new page,no
21194,treatment,new page,no
13207,control,old page,yes
13447,control,old page,yes
13354,control,old page,yes
19036,treatment,new page,yes
19291,treatment,new page,no
12151,control,old page,yes
22151,treatment,new page,yes
19891,treatment,new page,no
12149,control,old page,yes
13267,control,old page,no
13122,control,old page,no
20139,treatment,new page,no
22300,treatment,new page,no
12075,control,old page,no
12791,control,old page,no
19281,treatment,new page,no
21888,treatment,new page,yes
12158,control,old page,no
19877,treatment,new page,yes
20595,treatment,new page,yes
12623,control,old page,no
12498,control,old page,yes
22372,treatment,new page,no
12967,control,old page,no
21683,treatment,new page,no
20377,treatment,new page,yes
19782,treatment,new page,no
20760,treatment,new page,yes
20722,treatment,new page,no
20684,treatment,new page,yes
13335,control,old page,no
12156,control,old page,yes
21580,treatment,new page,yes
13357,control,old page,no
12958,control,old page,no
21259,treatment,new page,no
20153,treatment,new page,no
20103,treatment,new page,no
13175,control,old page,no
11994,control,old page,yes
13400,control,old page,no
22324,treatment,new page,no
20852,treatment,new page,yes
21818,treatment,new page,yes
13176,control,old page,no
13428,control,old page,no
12956,control,old page,no
12698,control,old page,no
12260,control,old page,yes
19146,treatment,new page,no
13233,control,old page,no
21831,treatment,new page,no
11904,control,old page,yes
20537,treatment,new page,no
21013,treatment,new page,no
19356,treatment,new page,yes
12450,control,old page,no
21117,treatment,new page,no
12508,control,old page,no
21454,treatment,new page,no
11890,control,old page,no
13240,control,old page,no
22120,treatment,new page,no
20510,treatment,new page,no
13032,control,old page,no
12527,control,old page,yes
12576,control,old page,no
12973,control,old page,no
12347,control,old page,no
21816,treatment,new page,no
20664,treatment,new page,no
12710,control,old page,no
12967,control,old page,yes
20200,treatment,new page,no
13444,control,old page,no
12007,control,old page,no
21048,treatment,new page,yes
18910,treatment,new page,no
18978,treatment,new page,no
13159,control,old page,no
21736,treatment,new page,no
21551,treatment,new page,no
12854,control,old page,yes
13263,control,old page,no
19843,treatment,new page,no
19313,treatment,new page,no
18939,treatment,new page,yes
12793,control,old page,no
12033,control,old page,no
12744,control,old page,yes
11956,control,old page,no
12848,control,old page,no
18893,treatment,new page,no
12490,control,old page,no
12437,control,old page,no
13006,control,old page,yes
13308,control,old page,no
13231,control,old page,no
12380,control,old page,no
12091,control,old page,no
19241,treatment,new page,no
19349,treatment,new page,no
12950,control,old page,no
21185,treatment,new page,no
19152,treatment,new page,no
11997,control,old page,no
20830,treatment,new page,no
13090,control,old page,yes
20489,treatment,new page,no
13061,control,old page,no
19633,treatment,new page,yes
21729,treatment,new page,no
19139,treatment,new page,no
12108,control,old page,no
12648,control,old page,no
22146,treatment,new page,yes
12783,control,old page,no
12709,control,old page,no
13079,control,old page,yes
12197,control,old page,no
20479,treatment,new page,no
12221,control,old page,no
22197,treatment,new page,no
12937,control,old page,yes
12924,control,old page,no
20189,treatment,new page,no
19997,treatment,new page,yes
12826,control,old page,yes
21009,treatment,new page,no
12345,control,old page,no
21360,treatment,new page,no
21230,treatment,new page,no
19703,treatment,new page,no
13340,control,old page,no
12151,control,old page,yes
12071,control,old page,no
22404,treatment,new page,yes
12901,control,old page,no
13438,control,old page,no
13253,control,old page,yes
13184,control,old page,no
20518,treatment,new page,no
19216,treatment,new page,no
12320,control,old page,no
18935,treatment,new page,no
12209,control,old page,no
19705,treatment,new page,no
21209,treatment,new page,no
12692,control,old page,no
13326,control,old page,no
20450,treatment,new page,yes
11928,control,old page,no
20530,treatment,new page,yes
21837,treatment,new page,no
12232,control,old page,yes
20968,treatment,new page,no
20548,treatment,new page,no
19332,treatment,new page,no
22286,treatment,new page,yes
12956,control,old page,no
12506,control,old page,no
13067,control,old page,no
21953,treatment,new page,yes
13115,control,old page,no
19284,treatment,new page,no
19405,treatment,new page,no
20274,treatment,new page,no
21813,treatment,new page,no
19276,treatment,new page,yes
12910,control,old page,no
20031,treatment,new page,no
13087,control,old page,no
22013,treatment,new page,no
12567,control,old page,no
21264,treatment,new page,no
12877,control,old page,no
21252,treatment,new page,no
19258,treatment,new page,no
21240,treatment,new page,yes
22421,treatment,new page,yes
19288,treatment,new page,no
12278,control,old page,no
19305,treatment,new page,no
19723,treatment,new page,no
22158,treatment,new page,no
13250,control,old page,no
20064,treatment,new page,yes
12900,control,old page,no
21450,treatment,new page,no
12066,control,old page,no
13051,control,old page,no
18894,treatment,new page,no
12205,control,old page,no
13027,control,old page,no
12596,control,old page,no
20329,treatment,new page,yes
11969,control,old page,no
20161,treatment,new page,yes
18987,treatment,new page,no
21884,treatment,new page,no
13315,control,old page,no
13341,control,old page,yes
21134,treatment,new page,no
12323,control,old page,yes
13084,control,old page,no
13171,control,old page,no
12021,control,old page,no
12415,control,old page,no
21843,treatment,new page,no
12893,control,old page,no
13023,control,old page,no
12186,control,old page,no
21570,treatment,new page,no
