id,group,pdp_page,engagement_time
28036,treatment,new page,1
24903,control,old page,2.5
32742,treatment,new page,1
30138,treatment,new page,1.5
28215,treatment,new page,1.5
34024,treatment,new page,1
29582,treatment,new page,1.5
28157,treatment,new page,1.5
25840,control,old page,2
31102,treatment,new page,1
17001,control,old page,2
27790,treatment,new page,1
34082,treatment,new page,1
29538,treatment,new page,1.5
24917,control,old page,2.5
29856,treatment,new page,1.5
21349,control,old page,2.5
24087,control,old page,2
29730,treatment,new page,1.5
31443,treatment,new page,1
26745,treatment,new page,1.5
19381,control,old page,2.5
15123,control,old page,2
27897,treatment,new page,1.5
31115,treatment,new page,1
21896,control,old page,2.5
31532,treatment,new page,1.5
20820,control,old page,2.5
20439,control,old page,2
26149,treatment,new page,1.5
21842,control,old page,2.5
18902,control,old page,2.5
13658,control,old page,2
28184,treatment,new page,1.5
28664,treatment,new page,1.5
15047,control,old page,2.5
25625,control,old page,2.5
24330,control,old page,2.5
16432,control,old page,2.5
28789,treatment,new page,1.5
28659,treatment,new page,1.5
27328,treatment,new page,1.5
23935,control,old page,2
15791,control,old page,2
22438,control,old page,2.5
25638,control,old page,2.5
33603,treatment,new page,1
13304,control,old page,2.5
26611,treatment,new page,1.5
13232,control,old page,2
20995,control,old page,2.5
27902,treatment,new page,1
31913,treatment,new page,1.5
13577,control,old page,2.5
32500,treatment,new page,1.5
26194,treatment,new page,1
18682,control,old page,2.5
22097,control,old page,2.5
31375,treatment,new page,1
29654,treatment,new page,1
21976,control,old page,2.5
22577,control,old page,2
18740,control,old page,2.5
13940,control,old page,2
30824,treatment,new page,1.5
33244,treatment,new page,1
26118,treatment,new page,1
14227,control,old page,2.5
20287,control,old page,2.5
30255,treatment,new page,1.5
32057,treatment,new page,1.5
20928,control,old page,2.5
17387,control,old page,2
27920,treatment,new page,1
17364,control,old page,2.5
31438,treatment,new page,1
15200,control,old page,2.5
20547,control,old page,2
24554,control,old page,2.5
31877,treatment,new page,1.5
15921,control,old page,2.5
18655,control,old page,2.5
31344,treatment,new page,1.5
22590,control,old page,2
26199,treatment,new page,1
20466,control,old page,2.5
20278,control,old page,2.5
29036,treatment,new page,1.5
21049,control,old page,2
13716,control,old page,2.5
34378,treatment,new page,1.5
33823,treatment,new page,1.5
12775,control,old page,2
19072,control,old page,2
25307,control,old page,2.5
15648,control,old page,2
30031,treatment,new page,1
14119,control,old page,2
27167,treatment,new page,1
30156,treatment,new page,1.5
30676,treatment,new page,1
33477,treatment,new page,1.5
13590,control,old page,2
31998,treatment,new page,1.5
17705,control,old page,2.5
17337,control,old page,2.5
17893,control,old page,2
33755,treatment,new page,1.5
27310,treatment,new page,1
28543,treatment,new page,1
33867,treatment,new page,1.5
14339,control,old page,2
27252,treatment,new page,1.5
32048,treatment,new page,1
20054,control,old page,2
14218,control,old page,2
15155,control,old page,2.5
20089,control,old page,2.5
19180,control,old page,2.5
18014,control,old page,2
13187,control,old page,2
17629,control,old page,2
21595,control,old page,2
28314,treatment,new page,1
33217,treatment,new page,1.5
32532,treatment,new page,1
29045,treatment,new page,1.5
26252,treatment,new page,1
18539,control,old page,2.5
32451,treatment,new page,1
21775,control,old page,2.5
31393,treatment,new page,1.5
14021,control,old page,2.5
21609,control,old page,2.5
34074,treatment,new page,1
33993,treatment,new page,1.5
20950,control,old page,2
26095,treatment,new page,1.5
26638,treatment,new page,1
18005,control,old page,2
25181,control,old page,2.5
18288,control,old page,2.5
33132,treatment,new page,1.5
20641,control,old page,2.5
29479,treatment,new page,1.5
29910,treatment,new page,1
13514,control,old page,2
22703,control,old page,2
21788,control,old page,2.5
28704,treatment,new page,1
21837,control,old page,2.5
21452,control,old page,2.5
28977,treatment,new page,1.5
22954,control,old page,2
29721,treatment,new page,1.5
26373,treatment,new page,1
19184,control,old page,2.5
18350,control,old page,2.5
30958,treatment,new page,1.5
28085,treatment,new page,1
16325,control,old page,2
31729,treatment,new page,1
14249,control,old page,2.5
13183,control,old page,2
27413,treatment,new page,1.5
18480,control,old page,2.5
21434,control,old page,2.5
26920,treatment,new page,1.5
12896,control,old page,2.5
30479,treatment,new page,1
24222,control,old page,2.5
22765,control,old page,2.5
27019,treatment,new page,1
32648,treatment,new page,1.5
15706,control,old page,2.5
24576,control,old page,2.5
30111,treatment,new page,1.5
32101,treatment,new page,1.5
24191,control,old page,2.5
29681,treatment,new page,1.5
23375,control,old page,2
31783,treatment,new page,1.5
19274,control,old page,2
13595,control,old page,2.5
17839,control,old page,2.5
18364,control,old page,2.5
16490,control,old page,2.5
18046,control,old page,2
34015,treatment,new page,1
26306,treatment,new page,1.5
25056,control,old page,2
14003,control,old page,2.5
26804,treatment,new page,1
30062,treatment,new page,1.5
19968,control,old page,2.5
14110,control,old page,2.5
21304,control,old page,2.5
21344,control,old page,2.5
24854,control,old page,2
16522,control,old page,2
22456,control,old page,2.5
13550,control,old page,2
28018,treatment,new page,1
15737,control,old page,2
22281,control,old page,2
17884,control,old page,2
32420,treatment,new page,1.5
23187,control,old page,2.5
33446,treatment,new page,1
28825,treatment,new page,1.5
33271,treatment,new page,1.5
31743,treatment,new page,1.5
31062,treatment,new page,1.5
29412,treatment,new page,1
26190,treatment,new page,1
17889,control,old page,2
16204,control,old page,2
34221,treatment,new page,1
15298,control,old page,2
32998,treatment,new page,1.5
28363,treatment,new page,1.5
20968,control,old page,2
19471,control,old page,2.5
14402,control,old page,2
16100,control,old page,2
22810,control,old page,2
32429,treatment,new page,1.5
34302,treatment,new page,1.5
34190,treatment,new page,1
18763,control,old page,2
21295,control,old page,2.5
21748,control,old page,2.5
12811,control,old page,2
33661,treatment,new page,1.5
14944,control,old page,2.5
25889,control,old page,2
14200,control,old page,2.5
16047,control,old page,2.5
27149,treatment,new page,1.5
28511,treatment,new page,1.5
24096,control,old page,2.5
19847,control,old page,2
15433,control,old page,2
24702,control,old page,2
22088,control,old page,2.5
21457,control,old page,2
21802,control,old page,2
27911,treatment,new page,1.5
34508,treatment,new page,1
28484,treatment,new page,1
32895,treatment,new page,1.5
23984,control,old page,2.5
24406,control,old page,2.5
27579,treatment,new page,1.5
19305,control,old page,2.5
28516,treatment,new page,1
12941,control,old page,2.5
15415,control,old page,2
20515,control,old page,2.5
22080,control,old page,2.5
29161,treatment,new page,1.5
14980,control,old page,2.5
20506,control,old page,2.5
31801,treatment,new page,1
16508,control,old page,2.5
17871,control,old page,2.5
27947,treatment,new page,1
29739,treatment,new page,1
30950,treatment,new page,1.5
22711,control,old page,2.5
32375,treatment,new page,1.5
27566,treatment,new page,1
20103,control,old page,2
20735,control,old page,2.5
33415,treatment,new page,1.5
19041,control,old page,2
19601,control,old page,2
32312,treatment,new page,1.5
28386,treatment,new page,1.5
15930,control,old page,2.5
25504,control,old page,2
32160,treatment,new page,1.5
30627,treatment,new page,1.5
22828,control,old page,2
15796,control,old page,2
15997,control,old page,2.5
13241,control,old page,2.5
32832,treatment,new page,1
22832,control,old page,2
14509,control,old page,2
30981,treatment,new page,1
29766,treatment,new page,1
15917,control,old page,2.5
29690,treatment,new page,1
25567,control,old page,2
14263,control,old page,2
15885,control,old page,2.5
13111,control,old page,2.5
17010,control,old page,2.5
34118,treatment,new page,1.5
30067,treatment,new page,1.5
25939,control,old page,2.5
19202,control,old page,2.5
33276,treatment,new page,1
24935,control,old page,2.5
29928,treatment,new page,1.5
33952,treatment,new page,1
34109,treatment,new page,1.5
31196,treatment,new page,1
18991,control,old page,2
26494,treatment,new page,1.5
23872,control,old page,2.5
30967,treatment,new page,1
26848,treatment,new page,1.5
13859,control,old page,2
32810,treatment,new page,1
20681,control,old page,2
23245,control,old page,2.5
18924,control,old page,2
30725,treatment,new page,1.5
20349,control,old page,2.5
17423,control,old page,2
32142,treatment,new page,1
17467,control,old page,2.5
22846,control,old page,2.5
25616,control,old page,2.5
17311,control,old page,2.5
22053,control,old page,2
18203,control,old page,2.5
21165,control,old page,2
26969,treatment,new page,1
14164,control,old page,2
31613,treatment,new page,1
30456,treatment,new page,1
31339,treatment,new page,1
34571,treatment,new page,1.5
20784,control,old page,2
18754,control,old page,2
33083,treatment,new page,1.5
14518,control,old page,2.5
25302,control,old page,2.5
30084,treatment,new page,1
28995,treatment,new page,1.5
28708,treatment,new page,1.5
17517,control,old page,2
15558,control,old page,2.5
14388,control,old page,2.5
28785,treatment,new page,1.5
23962,control,old page,2
28422,treatment,new page,1
20215,control,old page,2.5
28646,treatment,new page,1.5
20314,control,old page,2.5
17342,control,old page,2
14039,control,old page,2
14626,control,old page,2.5
20583,control,old page,2.5
29157,treatment,new page,1
17104,control,old page,2
27207,treatment,new page,1
16706,control,old page,2
31178,treatment,new page,1
28278,treatment,new page,1
20511,control,old page,2.5
13626,control,old page,2.5
33397,treatment,new page,1
27651,treatment,new page,1.5
21730,control,old page,2.5
17145,control,old page,2.5
28574,treatment,new page,1.5
19637,control,old page,2.5
27583,treatment,new page,1.5
13559,control,old page,2
13810,control,old page,2.5
26485,treatment,new page,1
29094,treatment,new page,1
18843,control,old page,2
24074,control,old page,2.5
21667,control,old page,2
21403,control,old page,2.5
27740,treatment,new page,1.5
32881,treatment,new page,1
26736,treatment,new page,1.5
13788,control,old page,2
25809,control,old page,2
16844,control,old page,2.5
32845,treatment,new page,1.5
19377,control,old page,2.5
15823,control,old page,2.5
14783,control,old page,2.5
32406,treatment,new page,1
28901,treatment,new page,1.5
13120,control,old page,2
27745,treatment,new page,1
33321,treatment,new page,1
33365,treatment,new page,1
18301,control,old page,2
22927,control,old page,2.5
28673,treatment,new page,1.5
24177,control,old page,2
30510,treatment,new page,1.5
18960,control,old page,2.5
24930,control,old page,2
18808,control,old page,2
19085,control,old page,2
34316,treatment,new page,1
20394,control,old page,2
20650,control,old page,2.5
13156,control,old page,2
16611,control,old page,2.5
12618,control,old page,2.5
27673,treatment,new page,1.5
21725,control,old page,2.5
27422,treatment,new page,1.5
33773,treatment,new page,1.5
31151,treatment,new page,1
17759,control,old page,2.5
33034,treatment,new page,1
21900,control,old page,2
14379,control,old page,2.5
31129,treatment,new page,1
19838,control,old page,2
27687,treatment,new page,1.5
31810,treatment,new page,1.5
21824,control,old page,2.5
26835,treatment,new page,1.5
25455,control,old page,2
21174,control,old page,2
32213,treatment,new page,1
30654,treatment,new page,1.5
29798,treatment,new page,1
17454,control,old page,2
18176,control,old page,2.5
20520,control,old page,2.5
34168,treatment,new page,1
31075,treatment,new page,1
32922,treatment,new page,1
20829,control,old page,2
16029,control,old page,2
31756,treatment,new page,1.5
34271,treatment,new page,1
27449,treatment,new page,1.5
34356,treatment,new page,1
23388,control,old page,2
17526,control,old page,2
20000,control,old page,2
32814,treatment,new page,1.5
31738,treatment,new page,1
21586,control,old page,2
27480,treatment,new page,1.5
28077,treatment,new page,1
24352,control,old page,2
33307,treatment,new page,1
17118,control,old page,2.5
32792,treatment,new page,1.5
14092,control,old page,2
24648,control,old page,2
22407,control,old page,2
22756,control,old page,2
28695,treatment,new page,1.5
32272,treatment,new page,1.5
26329,treatment,new page,1.5
18696,control,old page,2
30891,treatment,new page,1
26181,treatment,new page,1.5
24146,control,old page,2.5
30873,treatment,new page,1
16181,control,old page,2
29461,treatment,new page,1
19888,control,old page,2.5
20811,control,old page,2
30165,treatment,new page,1.5
22550,control,old page,2
28274,treatment,new page,1.5
23164,control,old page,2
24787,control,old page,2
13201,control,old page,2
25858,control,old page,2.5
31599,treatment,new page,1.5
27014,treatment,new page,1.5
29905,treatment,new page,1.5
29354,treatment,new page,1
23438,control,old page,2.5
26441,treatment,new page,1.5
32639,treatment,new page,1
32079,treatment,new page,1
29784,treatment,new page,1
32859,treatment,new page,1
33500,treatment,new page,1.5
30501,treatment,new page,1.5
26445,treatment,new page,1.5
16791,control,old page,2
24612,control,old page,2.5
19363,control,old page,2
23460,control,old page,2
18189,control,old page,2
13891,control,old page,2.5
15531,control,old page,2.5
33155,treatment,new page,1
34056,treatment,new page,1
31317,treatment,new page,1.5
34553,treatment,new page,1.5
21412,control,old page,2
31456,treatment,new page,1
13671,control,old page,2
20717,control,old page,2.5
18198,control,old page,2
21353,control,old page,2.5
22308,control,old page,2
12842,control,old page,2
17969,control,old page,2
31927,treatment,new page,1.5
27436,treatment,new page,1
27713,treatment,new page,1
17082,control,old page,2.5
13689,control,old page,2
23545,control,old page,2.5
14142,control,old page,2
31985,treatment,new page,1
30573,treatment,new page,1
13586,control,old page,2
15132,control,old page,2.5
19050,control,old page,2.5
12743,control,old page,2
26830,treatment,new page,1.5
21829,control,old page,2.5
29618,treatment,new page,1.5
30425,treatment,new page,1.5
30640,treatment,new page,1.5
18395,control,old page,2
23128,control,old page,2.5
16818,control,old page,2
12833,control,old page,2
25226,control,old page,2
31362,treatment,new page,1.5
12909,control,old page,2
17329,control,old page,2.5
28032,treatment,new page,1
18507,control,old page,2.5
23415,control,old page,2.5
34365,treatment,new page,1
31483,treatment,new page,1
18489,control,old page,2.5
12622,control,old page,2.5
33899,treatment,new page,1
28457,treatment,new page,1
33518,treatment,new page,1
32706,treatment,new page,1
31792,treatment,new page,1.5
24755,control,old page,2
14308,control,old page,2
21882,control,old page,2.5
22138,control,old page,2.5
33150,treatment,new page,1
23173,control,old page,2.5
22393,control,old page,2
27274,treatment,new page,1.5
17974,control,old page,2.5
24235,control,old page,2.5
27830,treatment,new page,1
13227,control,old page,2.5
17481,control,old page,2.5
26337,treatment,new page,1
21318,control,old page,2
34486,treatment,new page,1
31223,treatment,new page,1
28054,treatment,new page,1
32966,treatment,new page,1
32106,treatment,new page,1
23563,control,old page,2.5
21936,control,old page,2.5
20955,control,old page,2.5
27525,treatment,new page,1
26884,treatment,new page,1
28251,treatment,new page,1
17857,control,old page,2.5
23899,control,old page,2
20869,control,old page,2
15576,control,old page,2.5
27660,treatment,new page,1.5
16024,control,old page,2
13568,control,old page,2
19059,control,old page,2
23254,control,old page,2.5
14361,control,old page,2.5
28045,treatment,new page,1.5
32509,treatment,new page,1.5
33778,treatment,new page,1
24961,control,old page,2
19852,control,old page,2
21501,control,old page,2
33173,treatment,new page,1
28570,treatment,new page,1
16871,control,old page,2
24240,control,old page,2
17078,control,old page,2.5
18252,control,old page,2.5
19516,control,old page,2.5
15186,control,old page,2
27633,treatment,new page,1.5
24975,control,old page,2
33908,treatment,new page,1.5
28959,treatment,new page,1
13295,control,old page,2.5
33285,treatment,new page,1
26580,treatment,new page,1.5
20672,control,old page,2.5
15087,control,old page,2.5
29484,treatment,new page,1
26293,treatment,new page,1
34360,treatment,new page,1
17750,control,old page,2.5
26207,treatment,new page,1.5
26978,treatment,new page,1
27691,treatment,new page,1.5
23886,control,old page,2.5
18270,control,old page,2.5
22227,control,old page,2.5
16535,control,old page,2
27722,treatment,new page,1.5
23509,control,old page,2.5
18247,control,old page,2.5
15782,control,old page,2.5
24083,control,old page,2
21923,control,old page,2
21138,control,old page,2
27077,treatment,new page,1.5
29430,treatment,new page,1.5
29197,treatment,new page,1.5
25970,control,old page,2.5
24195,control,old page,2.5
25280,control,old page,2
23953,control,old page,2.5
23066,control,old page,2.5
23012,control,old page,2.5
14106,control,old page,2.5
25948,control,old page,2.5
19422,control,old page,2
23662,control,old page,2.5
29264,treatment,new page,1
13846,control,old page,2
15177,control,old page,2
17199,control,old page,2
19009,control,old page,2
28265,treatment,new page,1
33944,treatment,new page,1
29847,treatment,new page,1.5
21067,control,old page,2
28507,treatment,new page,1.5
13989,control,old page,2
34450,treatment,new page,1
33715,treatment,new page,1
17234,control,old page,2
31429,treatment,new page,1.5
12887,control,old page,2
16741,control,old page,2
32124,treatment,new page,1.5
16118,control,old page,2.5
26799,treatment,new page,1
33087,treatment,new page,1.5
15616,control,old page,2.5
12663,control,old page,2
15222,control,old page,2
23693,control,old page,2.5
19821,control,old page,2
31250,treatment,new page,1.5
22371,control,old page,2
22326,control,old page,2
33854,treatment,new page,1.5
29712,treatment,new page,1.5
26472,treatment,new page,1.5
32975,treatment,new page,1
14433,control,old page,2
32267,treatment,new page,1
17275,control,old page,2
16840,control,old page,2.5
33796,treatment,new page,1
34181,treatment,new page,1.5
29506,treatment,new page,1
21416,control,old page,2.5
23021,control,old page,2
25123,control,old page,2
18736,control,old page,2.5
26109,treatment,new page,1.5
15630,control,old page,2.5
28247,treatment,new page,1
27875,treatment,new page,1.5
20430,control,old page,2.5
25894,control,old page,2
24016,control,old page,2
26960,treatment,new page,1.5
27731,treatment,new page,1.5
17795,control,old page,2
17768,control,old page,2
22882,control,old page,2.5
23854,control,old page,2
16567,control,old page,2
19610,control,old page,2.5
17279,control,old page,2.5
17266,control,old page,2.5
22824,control,old page,2
13617,control,old page,2.5
19641,control,old page,2
33016,treatment,new page,1.5
24876,control,old page,2.5
31272,treatment,new page,1.5
17028,control,old page,2.5
14572,control,old page,2.5
26033,treatment,new page,1
25266,control,old page,2.5
26718,treatment,new page,1.5
29233,treatment,new page,1.5
17566,control,old page,2
19372,control,old page,2
32222,treatment,new page,1.5
25795,control,old page,2.5
18440,control,old page,2.5
20542,control,old page,2.5
19561,control,old page,2.5
31478,treatment,new page,1
12658,control,old page,2
23706,control,old page,2
17190,control,old page,2.5
34531,treatment,new page,1
30990,treatment,new page,1.5
26938,treatment,new page,1
14312,control,old page,2.5
24473,control,old page,2
19350,control,old page,2.5
28081,treatment,new page,1.5
19301,control,old page,2
33433,treatment,new page,1
34468,treatment,new page,1.5
13402,control,old page,2
28328,treatment,new page,1.5
24863,control,old page,2.5
16271,control,old page,2
18624,control,old page,2.5
28166,treatment,new page,1.5
20130,control,old page,2.5
16123,control,old page,2
33975,treatment,new page,1.5
34248,treatment,new page,1.5
17216,control,old page,2.5
25087,control,old page,2.5
34472,treatment,new page,1.5
24052,control,old page,2
18705,control,old page,2
17934,control,old page,2
18911,control,old page,2.5
29444,treatment,new page,1.5
26275,treatment,new page,1
21179,control,old page,2.5
27220,treatment,new page,1
22003,control,old page,2
17221,control,old page,2
12779,control,old page,2.5
30434,treatment,new page,1
18678,control,old page,2
33370,treatment,new page,1
24899,control,old page,2
18140,control,old page,2.5
33065,treatment,new page,1
32962,treatment,new page,1.5
32630,treatment,new page,1
26091,treatment,new page,1.5
13030,control,old page,2
26974,treatment,new page,1
13178,control,old page,2.5
26360,treatment,new page,1.5
25437,control,old page,2.5
27261,treatment,new page,1.5
16795,control,old page,2
31707,treatment,new page,1.5
34522,treatment,new page,1.5
19269,control,old page,2.5
13806,control,old page,2.5
28310,treatment,new page,1
27973,treatment,new page,1.5
32196,treatment,new page,1
16867,control,old page,2.5
13756,control,old page,2
16006,control,old page,2.5
31026,treatment,new page,1.5
27951,treatment,new page,1.5
20892,control,old page,2.5
32890,treatment,new page,1
20856,control,old page,2.5
14895,control,old page,2
33258,treatment,new page,1
15442,control,old page,2
28099,treatment,new page,1
19144,control,old page,2.5
26436,treatment,new page,1.5
18073,control,old page,2
21820,control,old page,2.5
26378,treatment,new page,1.5
30793,treatment,new page,1
15509,control,old page,2
14863,control,old page,2.5
31330,treatment,new page,1.5
16015,control,old page,2.5
14541,control,old page,2
24025,control,old page,2.5
31156,treatment,new page,1.5
12981,control,old page,2.5
22662,control,old page,2.5
34369,treatment,new page,1.5
31528,treatment,new page,1.5
18512,control,old page,2.5
23783,control,old page,2.5
14101,control,old page,2.5
14464,control,old page,2.5
21237,control,old page,2.5
26064,treatment,new page,1.5
14084,control,old page,2.5
23227,control,old page,2
21246,control,old page,2
20838,control,old page,2.5
34540,treatment,new page,1
20959,control,old page,2
13694,control,old page,2
28552,treatment,new page,1.5
22895,control,old page,2.5
30618,treatment,new page,1
26723,treatment,new page,1
30923,treatment,new page,1
29569,treatment,new page,1.5
14352,control,old page,2
30398,treatment,new page,1.5
23061,control,old page,2
12994,control,old page,2
13711,control,old page,2
18839,control,old page,2.5
25822,control,old page,2
18803,control,old page,2.5
31335,treatment,new page,1
31201,treatment,new page,1.5
33657,treatment,new page,1.5
16679,control,old page,2.5
16109,control,old page,2.5
33451,treatment,new page,1.5
24840,control,old page,2.5
31635,treatment,new page,1
19731,control,old page,2
13510,control,old page,2
21694,control,old page,2.5
32545,treatment,new page,1.5
29179,treatment,new page,1.5
19964,control,old page,2
19493,control,old page,2
28368,treatment,new page,1
19959,control,old page,2
33818,treatment,new page,1
29300,treatment,new page,1
17853,control,old page,2
29152,treatment,new page,1.5
18458,control,old page,2.5
30694,treatment,new page,1
28843,treatment,new page,1
34517,treatment,new page,1
16280,control,old page,2.5
12967,control,old page,2.5
14007,control,old page,2
25033,control,old page,2
32012,treatment,new page,1
32917,treatment,new page,1
21040,control,old page,2.5
28691,treatment,new page,1
15849,control,old page,2.5
25109,control,old page,2.5
22658,control,old page,2.5
23868,control,old page,2.5
13685,control,old page,2.5
13169,control,old page,2.5
22362,control,old page,2
16782,control,old page,2
19045,control,old page,2.5
27803,treatment,new page,1.5
15572,control,old page,2
19117,control,old page,2
17284,control,old page,2.5
22528,control,old page,2
30049,treatment,new page,1.5
29695,treatment,new page,1.5
13286,control,old page,2.5
26414,treatment,new page,1.5
12672,control,old page,2
30779,treatment,new page,1.5
19440,control,old page,2.5
28198,treatment,new page,1.5
15657,control,old page,2.5
14438,control,old page,2.5
33827,treatment,new page,1
31227,treatment,new page,1.5
17015,control,old page,2.5
27610,treatment,new page,1
29686,treatment,new page,1.5
25419,control,old page,2.5
21335,control,old page,2.5
23836,control,old page,2.5
32666,treatment,new page,1
22801,control,old page,2.5
12820,control,old page,2
15944,control,old page,2
25253,control,old page,2.5
23366,control,old page,2.5
30192,treatment,new page,1
31989,treatment,new page,1.5
16289,control,old page,2.5
31770,treatment,new page,1.5
18162,control,old page,2
27642,treatment,new page,1
32926,treatment,new page,1.5
18525,control,old page,2
34253,treatment,new page,1
16360,control,old page,2
33352,treatment,new page,1.5
23550,control,old page,2.5
32904,treatment,new page,1
19390,control,old page,2
23787,control,old page,2.5
22124,control,old page,2.5
27073,treatment,new page,1
19126,control,old page,2.5
24988,control,old page,2
13537,control,old page,2
24294,control,old page,2.5
24639,control,old page,2.5
14586,control,old page,2.5
14760,control,old page,2.5
24607,control,old page,2
28986,treatment,new page,1
14375,control,old page,2.5
25154,control,old page,2
19292,control,old page,2.5
26288,treatment,new page,1.5
14079,control,old page,2.5
29130,treatment,new page,1.5
27050,treatment,new page,1
27346,treatment,new page,1
27135,treatment,new page,1
18135,control,old page,2.5
22994,control,old page,2.5
31868,treatment,new page,1
18333,control,old page,2.5
25446,control,old page,2.5
30900,treatment,new page,1
29789,treatment,new page,1.5
18879,control,old page,2.5
23205,control,old page,2.5
32711,treatment,new page,1
24890,control,old page,2.5
27628,treatment,new page,1.5
26741,treatment,new page,1.5
14715,control,old page,2
16988,control,old page,2.5
19700,control,old page,2
15096,control,old page,2.5
26221,treatment,new page,1
18731,control,old page,2.5
31402,treatment,new page,1.5
26499,treatment,new page,1
26898,treatment,new page,1
13734,control,old page,2.5
26458,treatment,new page,1
30273,treatment,new page,1.5
28014,treatment,new page,1
31322,treatment,new page,1.5
16580,control,old page,2.5
18700,control,old page,2.5
26122,treatment,new page,1
20188,control,old page,2.5
20197,control,old page,2
15406,control,old page,2.5
25912,control,old page,2
24428,control,old page,2.5
33751,treatment,new page,1.5
13855,control,old page,2
13922,control,old page,2
25262,control,old page,2
15872,control,old page,2.5
31658,treatment,new page,1.5
25553,control,old page,2
13555,control,old page,2
15217,control,old page,2
15840,control,old page,2.5
19453,control,old page,2.5
